APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxx_o_wi,APPVAL_RECS_bert-xxx_o_wi,FOA_RECS_bert-xxx_o_wi
8962105,m,b,"9747595,9928487,9935140,10148799,10149384","596550.0,596550.0,596550.0,562600.0,562600.0","RFA-HL-17-002,RFA-HL-17-002,RFA-HL-17-002,RFA-HL-17-002,RFA-HL-17-002"
7885660,m,w,"10418618,9787181,9930463,9934219,10152373","535000.0,615000.0,615000.0,615000.0,580000.0","RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036"
8722014,f,w,"8209591,8514718,8210117,8892229,8901120","700000.0,675000.0,700000.0,665000.0,665000.0","RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003"
9421907,f,w,"9565384,9695908,9421907,9928385,10380873","437500.0,430500.0,437500.0,430500.0,321000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-21-002"
10017961,m,w,"10747107,10264080,10133276,10296007,10295857","154500.0,116000.0,123000.0,116000.0,116000.0","RFA-DK-22-002,RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026"
9682510,f,w,"8609905,9114886,9298415,8821370,8821094","675000.0,628800.0,600000.0,638400.0,638400.0","RFA-HS-13-001,RFA-NR-14-002,RFA-NR-14-002,RFA-NR-14-002,RFA-NR-14-002"
8932663,m,w,"10130683,10441141,10322155,10570305,10544320","578840.0,533930.0,533930.0,513970.0,513970.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"7650479,7650486,8435494,7784500,7789464","730000.0,730000.0,675000.0,720000.0,720000.0","RFA-AI-08-003,RFA-AI-08-003,RFA-AI-08-003,RFA-AI-08-003,RFA-AI-08-003"
10686340,m,w,"8921239,9114144,8934173,8912353,8936533","1662500.0,1637500.0,1662500.0,1662500.0,1662500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"10612407,10004281,10208884,10164781,10159909","51500.0,61500.0,57999.99999999999,57999.99999999999,57999.99999999999","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
9781466,m,w,"8458380,8469382,8460020,8458382,8514263","1027500.0,1012500.0,1012500.0,1027500.0,1027500.0","RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001"
8060626,m,w,"8063347,7902002,7824949,7904514,7846260","1800000.0,1825000.0,1825000.0,1825000.0,1825000.0","RFA-DK-06-014,RFA-DK-06-014,RFA-DK-06-014,RFA-DK-06-014,RFA-DK-06-014"
9896674,f,a,"8895787,8897885,8895786,8334479,8540178","6650000.0,6650000.0,6650000.0,6850000.000000001,6750000.0","RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006"
10424380,m,a,"10633318,10613956,10174605,10147642,10147641","1184500.0,1184500.0,1334000.0,1334000.0,1334000.0","RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004"
10676778,m,w,"8725469,8380612,8475561,8479319,8479321","532000.0,548000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"7638663,8011168,7616775,7621056,7608737","262800.0,252000.0,262800.0,262800.0,262800.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"7923947,8133245,7924675,7941957,7708527","432000.0,432000.0,432000.0,432000.0,438000.0","RFA-DA-09-003,RFA-DA-09-003,RFA-DA-09-003,RFA-DA-09-003,RFA-DA-09-003"
9960850,m,w,"7907775,7730603,7727520,7727339,7727133","288000.0,292000.0,292000.0,292000.0,292000.0","RFA-AG-09-004,RFA-AG-09-004,RFA-AG-09-004,RFA-AG-09-004,RFA-AG-09-004"
8119772,m,w,"10126937,10308509,10130308,10129592,10128864","232000.0,214000.0,232000.0,232000.0,232000.0","RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065"
9998967,m,w,"8808770,9529663,9022494,8990861,8986799","332500.0,312500.0,327500.0,327500.0,327500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"8330544,8644947,8456143,8644944,8486383","308250.0,299250.0,303750.0,665000.0,675000.0","RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-060,RFA-MH-12-060"
