APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxx_r_w,APPVAL_RECS_bert-xxx_r_w,FOA_RECS_bert-xxx_r_w
8962105,m,b,"10083763,9657194,10335171,9843530,8996081","464000.0,492000.0,428000.0,492000.0,399000.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-AG-15-004"
7885660,m,w,"9786807,9613911,9787181,10178062,10152373","615000.0,625000.0,615000.0,580000.0,580000.0","RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036"
8722014,f,w,"7677984,7908145,7880349,7665031,7662466","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
9421907,f,w,"10650877,10430514,10430544,10641819,9928385","309000.0,321000.0,321000.0,309000.0,430500.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-17-002"
10017961,m,w,"9724451,9173318,10411887,10411885,10411883","922500.0,982500.0,869999.9999999999,869999.9999999999,869999.9999999999","RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010"
9682510,f,w,"8754186,8912367,9519544,9293252,9101967","465500.0,465500.0,437500.0,437500.0,458500.0","RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"10130746,10322155,10360627,10441141,10544320","578840.0,533930.0,533930.0,533930.0,513970.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"8787871,9087275,9320782,8916813,10637036","465500.0,458500.0,437500.0,465500.0,721000.0","RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-AI-22-015"
10686340,m,w,"10518290,10698151,9352683,9178005,9176538","4280000.0,4120000.0,225000.0,235800.0,235800.0","RFA-OD-20-003,RFA-OD-20-003,RFA-HD-16-012,RFA-HD-16-012,RFA-HD-16-012"
7551990,f,h,"9379856,9591339,8991919,9267742,8991314","593750.0,584250.0,622250.0,622250.0,622250.0","RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014"
9781466,m,w,"8605381,9065464,9291406,8847623,8375450","66500.0,65500.0,62500.0,66500.0,1370000.0","RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-09-001"
8060626,m,w,"9741953,9857598,10114279,10622628,10626040","430500.0,430500.0,406000.0,1030000.0,1030000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9114846,9115018,8499062,8278847,8278811","294750.0,294750.0,1012500.0,1050000.0,1050000.0","RFA-MD-15-008,RFA-MD-15-008,RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005"
10424380,m,a,"10551872,9947834,10006492,9996334,9996333","1184500.0,1414500.0,1414500.0,1414500.0,1414500.0","RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001"
