APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxx_r_wi,APPVAL_RECS_bert-xxx_r_wi,FOA_RECS_bert-xxx_r_wi
8962105,m,b,"10335171,9843530,10083763,9657194,9121688","428000.0,492000.0,464000.0,492000.0,99750.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-005"
7885660,m,w,"9930463,10152373,10405099,10418618,9786807","615000.0,580000.0,535000.0,535000.0,615000.0","RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036"
8722014,f,w,"8301579,7743509,8320713,8307332,8487420","342500.0,365000.0,342500.0,342500.0,337500.0","RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023"
9421907,f,w,"10430514,10650877,10641819,10430544,8116004","321000.0,309000.0,309000.0,321000.0,280000.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-07-001"
10017961,m,w,"9723112,9972926,9173674,9172971,9972940","922500.0,922500.0,982500.0,982500.0,922500.0","RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010,RFA-DK-15-010"
9682510,f,w,"8912367,9519544,9293252,9101967,8754186","465500.0,437500.0,437500.0,458500.0,465500.0","RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"10570305,10441141,10130852,10130746,10130683","513970.0,533930.0,578840.0,578840.0,578840.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"8787871,9087275,9320782,8916813,10637036","465500.0,458500.0,437500.0,465500.0,721000.0","RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-AI-22-015"
10686340,m,w,"10518290,10698151,9352237,9524829,9517980","4280000.0,4120000.0,225000.0,225000.0,225000.0","RFA-OD-20-003,RFA-OD-20-003,RFA-HD-16-012,RFA-HD-16-012,RFA-HD-16-012"
7551990,f,h,"9229026,9695977,9873964,9022630,9024048","593750.0,584250.0,584250.0,622250.0,622250.0","RFA-ES-15-003,RFA-ES-15-003,RFA-ES-15-003,RFA-ES-15-003,RFA-ES-15-003"
9781466,m,w,"8065948,8377721,8051837,8051836,8375450","1440000.0,1370000.0,1440000.0,1440000.0,1370000.0","RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001"
8060626,m,w,"9857598,10114279,9741953,8988564,8913136","430500.0,406000.0,430500.0,65500.0,66500.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-11-015,RFA-DK-11-015"
9896674,f,a,"9114846,9115018,9932813,9733762,9696245","294750.0,294750.0,1168500.0,1168500.0,1168500.0","RFA-MD-15-008,RFA-MD-15-008,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"9228300,9404936,9617184,9617185,9617186","2250000.0,2250000.0,2214000.0,2214000.0,2214000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"8955131,9768325,8954103,9135265,9135268","4655000.0,4305000.0,4655000.0,4585000.0,4585000.0","RFA-HS-14-011,RFA-HS-14-011,RFA-HS-14-011,RFA-HS-14-011,RFA-HS-14-011"
7637363,m,w,"8898859,8081510,8251938,8251942,8251931","266000.0,280000.0,274000.0,274000.0,274000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"10197184,10048673,10048472,10048325,10047717","348000.0,369000.0,369000.0,369000.0,369000.0","RFA-HG-18-006,RFA-HG-18-006,RFA-HG-18-006,RFA-HG-18-006,RFA-HG-18-006"
9960850,m,w,"7943322,8545979,7943338,7943339,7728810","438000.0,411000.00000000006,438000.0,438000.0,438000.0","RFA-AG-09-008,RFA-AG-09-008,RFA-AG-09-008,RFA-AG-09-008,RFA-AG-09-008"
8119772,m,w,"10393529,9918850,10630048,10138971,9727895","802500.0,922500.0,772500.0,869999.9999999999,922500.0","RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014"
9998967,m,w,"9918850,9922858,9577408,9575666,9727895","922500.0,922500.0,937500.0,937500.0,922500.0","RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014,RFA-AI-17-014"
9935976,f,w,"8991370,9751349,8991395,8991043,9478668","332500.0,307500.0,332500.0,332500.0,312500.0","RFA-HD-15-017,RFA-HD-15-017,RFA-HD-15-017,RFA-HD-15-017,RFA-HD-15-017"
9539516,m,w,"7780406,7911174,7919963,7845606,7934479","504000.0,511000.0,504000.0,504000.0,504000.0","RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004"
10518914,m,w,"10472053,9870338,9870340,10695963,10695960","642000.0,738000.0,738000.0,618000.0,618000.0","RFA-CA-19-005,RFA-CA-19-005,RFA-CA-19-005,RFA-CA-19-005,RFA-CA-19-005"
10770832,f,w,"8722121,8876643,10130130,10694022,10263369","266000.0,266000.0,1230000.0,1030000.0,1160000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-RM-20-007,RFA-RM-20-007,RFA-RM-20-007"
8380026,m,w,"10436133,10604394,9783793,9186930,9186362","240750.0,231750.0,307500.0,327500.0,327500.0","RFA-DK-20-032,RFA-DK-20-032,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"9999446,9767653,9767651,9767650,9767649","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
8339880,m,w,"8367812,8518215,8529444,8532795,8370230","68500.0,67500.0,67500.0,67500.0,68500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
9592088,m,a,"10451808,10670199,10296363,10731013,10731254","535000.0,515000.0,580000.0,952750.0,952750.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-22-504,RFA-DK-22-504"
10008967,m,w,"10712148,10712153,10712152,10712151,10712150","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001"
10134972,f,w,"9961457,9491912,9471784,9707692,9687652","922500.0,937500.0,937500.0,922500.0,922500.0","RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"9783829,9982966,9774474,9149286,9338254","49200.0,49200.0,50000.0,1834000.0,1750000.0","RFA-ES-16-003,RFA-ES-16-003,RFA-ES-16-003,RFA-ES-15-004,RFA-ES-15-004"
8535751,m,w,"10476577,10290456,10476508,10476504,10290786","428000.0,464000.0,428000.0,428000.0,464000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
7959773,f,w,"10088137,9506944,9946863,9999273,9787450","33210000.0,33750000.0,33210000.0,33210000.0,1353000.0","RFA-DK-17-508,RFA-DK-17-508,RFA-DK-17-508,RFA-DK-17-508,RFA-DK-17-511"
8769602,m,a,"8529444,8370230,8518213,8518215,8532795","67500.0,68500.0,67500.0,67500.0,67500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
10406304,f,w,"7880871,7845561,7668578,7656591,7885322","360000.0,360000.0,365000.0,365000.0,360000.0","RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002"
9987453,f,w,"8532795,8518215,8370150,8367812,8370230","67500.0,67500.0,68500.0,68500.0,68500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
