APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxx_o_w,APPVAL_RECS_bert-xxxx_o_w,FOA_RECS_bert-xxxx_o_w
8962105,m,b,"8962105,8959886,8961416,9121688,9103741","99750.0,99750.0,99750.0,99750.0,98250.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"10697998,10227742,10021663,9900191,9930463","515000.0,535000.0,615000.0,615000.0,615000.0","RFA-DK-18-018,RFA-DK-18-018,RFA-DK-18-018,RFA-DK-18-018,RFA-HD-18-036"
8722014,f,w,"10309098,10746327,10745889,10685294,10479044","232000.0,206000.0,206000.0,206000.0,214000.0","RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015"
9421907,f,w,"9565384,9695908,9421907,9928385,10430544","437500.0,430500.0,437500.0,430500.0,321000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-22-002"
10017961,m,w,"10264921,10263317,10295857,10153972,10264100","116000.0,116000.0,116000.0,123000.0,116000.0","RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026"
9682510,f,w,"8609905,9527192,9234352,9357674,9732638","675000.0,437500.0,458500.0,437500.0,430500.0","RFA-HS-13-001,RFA-NR-16-003,RFA-NR-16-003,RFA-NR-16-003,RFA-NR-16-003"
8932663,m,w,"10544320,10130852,10130746,10130683,10570305","513970.0,578840.0,578840.0,578840.0,513970.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"9411341,9544151,10241239,9965878,9743795","462500.0,462500.0,429200.0,455100.0,455100.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"10675514,10700979,10700016,10700012,10700011","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"10359841,10582606,10401934,10474273,10004281","53500.0,51500.0,53500.0,53500.0,61500.0","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
9781466,m,w,"8514261,8468475,8469380,8469376,8469381","1027500.0,1027500.0,1012500.0,1012500.0,1012500.0","RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001"
8060626,m,w,"7896082,8637045,7925419,7925411,7925282","1800000.0,1662500.0,1800000.0,1800000.0,1800000.0","RFA-DK-08-008,RFA-DK-08-008,RFA-DK-08-008,RFA-DK-08-008,RFA-DK-08-008"
9896674,f,a,"9233266,8688806,8489149,8499062,8499063","982500.0,997500.0,1012500.0,1012500.0,1012500.0","RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005"
10424380,m,a,"10147637,10633317,10633311,10633306,10633301","1334000.0,1184500.0,1184500.0,1184500.0,1184500.0","RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004"
10676778,m,w,"8532647,8381416,8532646,8532645,8880857","540000.0,548000.0,540000.0,540000.0,532000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8654352,8638050,8638040,8638041,8082211","266000.0,266000.0,266000.0,266000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"7911780,7713461,7713485,7713526,7708608","432000.0,438000.0,438000.0,438000.0,438000.0","RFA-DA-09-003,RFA-DA-09-003,RFA-DA-09-003,RFA-DA-09-003,RFA-DA-09-003"
9960850,m,w,"10641819,10430514,10430544,10650877,9204120","309000.0,321000.0,321000.0,309000.0,229250.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-16-020"
8119772,m,w,"7680230,7680243,7920814,7920822,9350371","438000.0,438000.0,432000.0,432000.0,312500.0","RFA-AT-06-004,RFA-AT-06-004,RFA-AT-06-004,RFA-AT-06-004,RFA-GM-16-003"
9998967,m,w,"7920822,7920814,7680243,7680230,7714319","432000.0,432000.0,438000.0,438000.0,292000.0","RFA-AT-06-004,RFA-AT-06-004,RFA-AT-06-004,RFA-AT-06-004,RFA-AI-08-020"
9935976,f,w,"10360448,9912346,10087002,8729741,8472537","240750.0,276750.0,261000.0,299250.0,675000.0","RFA-MH-20-202,RFA-MH-20-202,RFA-MH-20-202,RFA-MH-14-182,RFA-MH-11-080"
9539516,m,w,"7780406,7911174,7919963,7845606,7934479","504000.0,511000.0,504000.0,504000.0,504000.0","RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004"
10518914,m,w,"10246975,10020998,10246974,10020994,10246976","1392000.0,1476000.0,1392000.0,1476000.0,1392000.0","RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006,RFA-CA-19-006"
10770832,f,w,"8722121,8876643,9376394,9529618,9856802","266000.0,266000.0,250000.0,250000.0,246000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-17-005,RFA-DE-17-005,RFA-DE-19-008"
8380026,m,w,"10003316,9564866,9564876,9562073,9868111","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"9730345,9306750,9485316,9509333,9491692","430500.0,437500.0,437500.0,437500.0,437500.0","RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023"
8339880,m,w,"10700142,10515879,9755187,9671464,9057622","772500.0,802500.0,437500.0,430500.0,458500.0","RFA-AG-22-018,RFA-AG-22-018,RFA-NR-15-001,RFA-NR-15-001,RFA-NR-15-001"
