APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxx_p_w,APPVAL_RECS_bert-xxxx_p_w,FOA_RECS_bert-xxxx_p_w
8962105,m,b,"9405804,9406614,9984892,9979941,10455084","312500.0,312500.0,307500.0,307500.0,267500.0","RFA-HL-17-009,RFA-HL-17-009,RFA-HL-17-009,RFA-HL-17-009,RFA-HL-17-009"
7885660,m,w,"9786807,10152373,10178062,10405099,10418618","615000.0,580000.0,580000.0,535000.0,535000.0","RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036"
8722014,f,w,"7922355,8058788,8066756,7797454,7797453","1095000.0,1080000.0,1080000.0,1080000.0,1095000.0","RFA-DK-04-021,RFA-DK-04-021,RFA-DK-04-021,RFA-DK-04-021,RFA-DK-04-021"
9421907,f,w,"10488592,10676777,10667517,10667514,10544989","535000.0,515000.0,515000.0,515000.0,515000.0","RFA-AR-21-004,RFA-AR-21-004,RFA-AR-21-004,RFA-AR-21-004,RFA-AR-21-004"
10017961,m,w,"9102381,8333056,8537710,8537711,8326068","332500.0,350000.0,342500.0,342500.0,342500.0","RFA-DK-10-007,RFA-DK-10-007,RFA-DK-10-007,RFA-DK-10-007,RFA-DK-10-007"
9682510,f,w,"10709636,10592780,8496729,8496736,8496734","772500.0,802500.0,1687500.0,1687500.0,1687500.0","RFA-TR-22-012,RFA-TR-22-012,RFA-AT-10-002,RFA-AT-10-002,RFA-AT-10-002"
8932663,m,w,"8690240,7664619,7919183,8100298,7884497","2362500.0,2555000.0,2555000.0,2450000.0,2520000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9965878,10241239,9411341,9743795,9544151","455100.0,429200.0,462500.0,455100.0,462500.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"10698151,10518290,10294846,10700064,10108166","4120000.0,4280000.0,116000.0,103000.0,123000.0","RFA-OD-20-003,RFA-OD-20-003,RFA-OD-20-006,RFA-OD-20-006,RFA-OD-20-006"
7551990,f,h,"9246531,9676314,9044774,9044776,9044778","116680.0,114813.12,122280.64,122280.64,122280.64","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"10621281,10369212,10505269,10505271,10053692","257500.0,267500.0,267500.0,267500.0,307500.0","RFA-HL-20-024,RFA-HL-20-024,RFA-HL-20-024,RFA-HL-20-024,RFA-HL-20-024"
8060626,m,w,"9282431,9272874,9267974,9274292,9267971","1562500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004"
9896674,f,a,"8820080,8564760,8564059,8566254,8564872","498750.0,506250.00000000006,506250.00000000006,506250.00000000006,506250.00000000006","RFA-MD-13-001,RFA-MD-13-001,RFA-MD-13-001,RFA-MD-13-001,RFA-MD-13-001"
10424380,m,a,"10711001,10712618,10711018,10711811,10712556","360500.0,360500.0,360500.0,360500.0,360500.0","RFA-AA-22-003,RFA-AA-22-003,RFA-AA-22-003,RFA-AA-22-003,RFA-AA-22-003"
10676778,m,w,"10704388,10704387,10704389,10704390,10704367","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-AR-23-002,RFA-AR-23-002,RFA-AR-23-002,RFA-AR-23-002,RFA-AR-23-002"
7637363,m,w,"7638663,7798062,7794928,7798552,7798554","262800.0,259200.0,259200.0,259200.0,259200.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"9770050,10380050,10380052,10414788,10414790","922500.0,802500.0,802500.0,802500.0,802500.0","RFA-RM-18-014,RFA-RM-18-014,RFA-RM-18-014,RFA-RM-18-014,RFA-RM-18-014"
9960850,m,w,"10400905,10369731,10216086,10215763,10214949","802500.0,802500.0,869999.9999999999,869999.9999999999,869999.9999999999","RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028"
