APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxx_p_wi,APPVAL_RECS_bert-xxxx_p_wi,FOA_RECS_bert-xxxx_p_wi
8962105,m,b,"8689156,8550129,8411660,8876775,9323560","532000.0,540000.0,548000.0,532000.0,312500.0","RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035,RFA-HL-15-024"
7885660,m,w,"10227742,10697998,9900191,10021663,9729825","535000.0,515000.0,615000.0,615000.0,615000.0","RFA-DK-18-018,RFA-DK-18-018,RFA-DK-18-018,RFA-DK-18-018,RFA-HD-16-036"
8722014,f,w,"7741894,7935280,8105554,7908879,8105515","365000.0,360000.0,360000.0,350000.0,350000.0","RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023"
9421907,f,w,"10489744,10840200,10480007,10489769,10493321","535000.0,515000.0,535000.0,535000.0,535000.0","RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011"
10017961,m,w,"8537711,8333056,8901366,8193694,8884587","342500.0,350000.0,332500.0,350000.0,332500.0","RFA-DK-10-007,RFA-DK-10-007,RFA-DK-10-007,RFA-DK-10-007,RFA-DK-10-007"
9682510,f,w,"10709636,10592780,8877409,8496733,8321487","772500.0,802500.0,1662500.0,1687500.0,1712500.0000000002","RFA-TR-22-012,RFA-TR-22-012,RFA-AT-10-002,RFA-AT-10-002,RFA-AT-10-002"
8932663,m,w,"8467802,8690240,7664619,7919183,8100298","2397500.0,2362500.0,2555000.0,2555000.0,2450000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9419761,9206455,8889895,9001897,9005813","500000.0,500000.0,532000.0,524000.0,524000.0","RFA-AI-13-059,RFA-AI-13-059,RFA-AI-13-059,RFA-AI-13-059,RFA-AI-13-059"
10686340,m,w,"10684010,10459581,10288585,10288582,10459584","1030000.0,1070000.0,1160000.0,1160000.0,1070000.0","RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008"
7551990,f,h,"9457435,9669041,9459899,9460502,9676314","116680.0,114813.12,116680.0,116680.0,114813.12","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"9562023,9390021,9205080,10250341,10250342","4375000.0,4375000.0,4585000.0,4060000.0,4060000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"8634764,8447673,8446562,8435812,8446555","66500.0,68500.0,67500.0,67500.0,67500.0","RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015"
9896674,f,a,"8500695,8586274,8782555,8820835,8790694","337500.0,332500.0,332500.0,332500.0,332500.0","RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006,RFA-MD-12-006"
10424380,m,a,"10712618,10712556,10711811,10711018,10711001","360500.0,360500.0,360500.0,360500.0,360500.0","RFA-AA-22-003,RFA-AA-22-003,RFA-AA-22-003,RFA-AA-22-003,RFA-AA-22-003"
10676778,m,w,"10704366,10704276,10704390,10704389,10704387","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-AR-23-002,RFA-AR-23-002,RFA-AR-23-002,RFA-AR-23-002,RFA-AR-23-002"
7637363,m,w,"8004987,8020043,8004945,8018052,8009486","252000.0,252000.0,252000.0,252000.0,252000.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"10380051,10599932,10380050,9770051,9770050","802500.0,772500.0,802500.0,922500.0,922500.0","RFA-RM-18-014,RFA-RM-18-014,RFA-RM-18-014,RFA-RM-18-014,RFA-RM-18-014"
9960850,m,w,"10215763,10552672,10369731,10378726,10400905","869999.9999999999,772500.0,802500.0,802500.0,802500.0","RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028"
8119772,m,w,"10577803,10357968,10583461,10583460,10583458","1545000.0,1605000.0,1545000.0,1545000.0,1545000.0","RFA-AI-20-001,RFA-AI-20-001,RFA-AI-20-001,RFA-AI-20-001,RFA-AI-20-001"
9998967,m,w,"10168131,10357967,10583463,10583461,10583460","1739999.9999999998,1605000.0,1545000.0,1545000.0,1545000.0","RFA-AI-20-001,RFA-AI-20-001,RFA-AI-20-001,RFA-AI-20-001,RFA-AI-20-001"
9935976,f,w,"8733202,8604913,10087002,9912346,10360448","266000.0,270000.0,261000.0,276750.0,240750.0","RFA-MH-13-091,RFA-MH-13-091,RFA-MH-20-202,RFA-MH-20-202,RFA-MH-20-202"
9539516,m,w,"9098205,9277472,9481714,9697816,9567637","524000.0,500000.0,500000.0,492000.0,500000.0","RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001"
10518914,m,w,"9785838,9527049,9982474,9753164,9316562","937500.0,937500.0,922500.0,922500.0,937500.0","RFA-CA-15-015,RFA-CA-15-015,RFA-CA-15-015,RFA-CA-15-015,RFA-CA-15-015"
10770832,f,w,"8876643,8722121,10114539,10867877,10746896","266000.0,266000.0,288840.0,256470.0,256470.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-20-015,RFA-CA-20-015,RFA-CA-20-015"
8380026,m,w,"10436133,10604394,9186837,9354457,9354452","240750.0,231750.0,327500.0,312500.0,312500.0","RFA-DK-20-032,RFA-DK-20-032,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"10449317,10008512,10656300,10208683,7706420","2568000.0,2952000.0,2472000.0,2784000.0,292000.0","RFA-AI-19-041,RFA-AI-19-041,RFA-AI-19-041,RFA-AI-19-041,RFA-AI-08-020"
8339880,m,w,"8718964,8166312,8856451,8892951,8319400","332500.0,350000.0,332500.0,332500.0,342500.0","RFA-AG-11-006,RFA-AG-11-006,RFA-AG-11-006,RFA-AG-11-006,RFA-AG-11-006"
9592088,m,a,"10451808,10670199,10296363,8335390,8233772","535000.0,515000.0,580000.0,616500.0,630000.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-10-011,RFA-DK-10-011"
10008967,m,w,"9204993,9336367,9206106,9205554,9337516","327500.0,312500.0,327500.0,327500.0,312500.0","RFA-TR-16-001,RFA-TR-16-001,RFA-TR-16-001,RFA-TR-16-001,RFA-TR-16-001"
