APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxx_r_wi,APPVAL_RECS_bert-xxxx_r_wi,FOA_RECS_bert-xxxx_r_wi
8962105,m,b,"9843530,10083763,9657194,10335171,9144844","492000.0,464000.0,492000.0,428000.0,327500.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-024"
7885660,m,w,"10405099,10418618,9930463,9934219,10152373","535000.0,535000.0,615000.0,615000.0,580000.0","RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036"
8722014,f,w,"7677989,7677986,7677984,7668684,7662466","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
9421907,f,w,"9421907,9565384,9695908,9928385,9890656","437500.0,437500.0,430500.0,430500.0,922500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-19-025"
10017961,m,w,"8707069,8722127,8710178,8534761,8326068","337500.0,337500.0,332500.0,337500.0,342500.0","RFA-DK-10-007,RFA-DK-10-007,RFA-DK-10-007,RFA-DK-10-007,RFA-DK-10-007"
9682510,f,w,"10709636,10592780,8877413,8496732,8877412","772500.0,802500.0,1662500.0,1687500.0,1662500.0","RFA-TR-22-012,RFA-TR-22-012,RFA-AT-10-002,RFA-AT-10-002,RFA-AT-10-002"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","2520000.0,2450000.0,2555000.0,2555000.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9743795,9411341,10241239,9965878,9544151","455100.0,462500.0,429200.0,455100.0,462500.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"10288585,10288582,10459581,10459584,10684010","1160000.0,1160000.0,1070000.0,1070000.0,1030000.0","RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008"
7551990,f,h,"9044778,9457435,9247181,8912671,8913586","122280.64,116680.0,116680.0,124147.52,124147.52","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"9205193,9390021,10003929,10003930,10006150","4375000.0,4375000.0,4305000.0,4305000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
