APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_o_w,APPVAL_RECS_bert-xxxxx_o_w,FOA_RECS_bert-xxxxx_o_w
8962105,m,b,"10630052,10521304,9894256,9894231,9893161","8240000.0,8240000.0,9840000.0,9840000.0,9840000.0","RFA-HL-20-012,RFA-HL-20-012,RFA-HL-20-012,RFA-HL-20-012,RFA-HL-20-012"
7885660,m,w,"8536036,9338933,8536037,9123843,8336923","685000.0,655000.0,685000.0,665000.0,685000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10309098,10479044,10532594,10685294,10693955","232000.0,214000.0,214000.0,206000.0,206000.0","RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015"
9421907,f,w,"10195469,10574590,10380776,10380873,10380875","348000.0,309000.0,321000.0,321000.0,321000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
10017961,m,w,"10456128,10264960,10704049,10127119,10746147","856000.0,928000.0,824000.0,984000.0,58413.36","RFA-RM-20-003,RFA-RM-20-003,RFA-RM-20-003,RFA-RM-20-003,RFA-DK-21-033"
9682510,f,w,"10598873,10597790,10598724,10596875,10599385","214000.0,214000.0,214000.0,214000.0,214000.0","RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011"
8932663,m,w,"7919183,7664619,7884497,8100298,8467802","2555000.0,2555000.0,2520000.0,2450000.0,2397500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"10637036,9667824,10078590,10326825,9844060","721000.0,615000.0,535000.0,535000.0,615000.0","RFA-AI-22-015,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039"
10686340,m,w,"10001433,10478155,10480859,10480853,10480851","1230000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"10596557,10004300,10159909,10159261,10136598","51500.0,61500.0,57999.99999999999,57999.99999999999,57999.99999999999","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
9781466,m,w,"7898766,7898789,8100406,8100407,8100408","1095000.0,1095000.0,1080000.0,1080000.0,1080000.0","RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010"
8060626,m,w,"8915681,8928151,8546355,8546371,8546377","266000.0,266000.0,270000.0,270000.0,270000.0","RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009"
9896674,f,a,"9482282,9485173,9484893,9484592,9484498","1187500.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"10174612,10429957,9882795,9882794,9882702","1334000.0,1230500.0,1414500.0,1414500.0,1414500.0","RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004"
10676778,m,w,"10466816,9413675,9413177,9413620,9413676","535000.0,625000.0,625000.0,625000.0,625000.0","RFA-AR-17-002,RFA-AR-17-002,RFA-AR-17-002,RFA-AR-17-002,RFA-AR-17-002"
7637363,m,w,"7876956,8011175,7806393,7884581,7809464","259200.0,252000.0,259200.0,259200.0,259200.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"7713471,7941948,7713292,7713208,7941943","292000.0,288000.0,292000.0,292000.0,288000.0","RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004"
9960850,m,w,"10318902,10474478,10318876,10318757,10737872","580000.0,535000.0,580000.0,580000.0,515000.0","RFA-CA-20-046,RFA-CA-20-046,RFA-CA-20-046,RFA-CA-20-046,RFA-CA-20-046"
8119772,m,w,"9231219,9397509,9222315,9221467,9222102","375000.0,375000.0,375000.0,375000.0,375000.0","RFA-AI-15-054,RFA-AI-15-054,RFA-AI-15-054,RFA-AI-15-054,RFA-AI-15-054"
9998967,m,w,"8822806,8448066,8451885,8459979,8452056","997500.0,1012500.0,1012500.0,1012500.0,1012500.0","RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004"
9935976,f,w,"8607976,8551682,9010966,8431983,9211357","664998.67,664998.67,654998.6900000001,674998.65,624998.75","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"8734633,8884733,7893014,7900974,8325772","405000.0,399000.0,432000.0,432000.0,420000.0","RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013"
10518914,m,w,"9627276,9627419,9627377,9627417,9627725","2000000.0,2000000.0,2000000.0,2000000.0,2000000.0","RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035"
