APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_o_wi,APPVAL_RECS_bert-xxxxx_o_wi,FOA_RECS_bert-xxxxx_o_wi
8962105,m,b,"8997188,8997390,9319794,9565173,9323560","332500.0,332500.0,312500.0,312500.0,312500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"9934219,9787181,10405099,10418618,9930463","615000.0,615000.0,535000.0,535000.0,615000.0","RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036,RFA-HD-18-036"
8722014,f,w,"10746327,10479044,10532594,10685294,10693955","206000.0,214000.0,214000.0,206000.0,206000.0","RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015"
9421907,f,w,"9565384,9928385,9695908,9421907,10616595","437500.0,430500.0,430500.0,437500.0,309000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-21-002"
10017961,m,w,"10127119,10264960,10456128,10704049,10114279","984000.0,928000.0,856000.0,824000.0,406000.0","RFA-RM-20-003,RFA-RM-20-003,RFA-RM-20-003,RFA-RM-20-003,RFA-DK-17-019"
9682510,f,w,"10598724,10599396,10599385,10598873,10598312","214000.0,214000.0,214000.0,214000.0,214000.0","RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011"
8932663,m,w,"8467802,8690240,7664619,7919183,8100298","2397500.0,2362500.0,2555000.0,2555000.0,2450000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"10637036,9667824,9667823,10092091,10549737","721000.0,615000.0,615000.0,580000.0,515000.0","RFA-AI-22-015,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039"
10686340,m,w,"10265497,10242079,10242883,10242882,10242881","1160000.0,1160000.0,1160000.0,1160000.0,1160000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"10004300,10582606,10401934,10378135,10359841","61500.0,51500.0,53500.0,53500.0,53500.0","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
9781466,m,w,"9172098,9325392,9320975,9321100,9330040","1441000.0,1375000.0,1375000.0,1375000.0,1375000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
8060626,m,w,"8921974,8546373,8215127,8215129,8215130","266000.0,270000.0,280000.0,280000.0,280000.0","RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009"
9896674,f,a,"9483500,9483499,9485644,9484910,9482279","1187500.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"10147637,10429957,9882795,9882794,9882702","1334000.0,1230500.0,1414500.0,1414500.0,1414500.0","RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004,RFA-AA-19-004"
10676778,m,w,"10680554,9413806,9413620,9413676,9413621","515000.0,625000.0,625000.0,625000.0,625000.0","RFA-AR-17-002,RFA-AR-17-002,RFA-AR-17-002,RFA-AR-17-002,RFA-AR-17-002"
7637363,m,w,"8011168,7608737,7876956,7806393,7884581","252000.0,262800.0,259200.0,259200.0,259200.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"7713208,7941949,7941943,8133221,7941948","292000.0,288000.0,288000.0,288000.0,288000.0","RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004,RFA-DA-09-004"
9960850,m,w,"10491098,10690756,10474478,10318876,10318757","535000.0,515000.0,535000.0,580000.0,580000.0","RFA-CA-20-046,RFA-CA-20-046,RFA-CA-20-046,RFA-CA-20-046,RFA-CA-20-046"
8119772,m,w,"10334562,10596201,10335276,10358642,9851345","321000.0,309000.0,321000.0,321000.0,369000.0","RFA-AI-17-036,RFA-AI-17-036,RFA-AI-17-036,RFA-AI-17-036,RFA-AI-17-036"
9998967,m,w,"8638892,8451885,8452056,8283753,8281798","997500.0,1012500.0,1012500.0,1027500.0,1027500.0","RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004,RFA-AI-11-004"
9935976,f,w,"8813609,8551682,8607976,9010966,8431983","664998.67,664998.67,664998.67,654998.6900000001,674998.65","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"8884733,7692977,8311845,8546648,8311848","399000.0,438000.0,411000.00000000006,411000.00000000006,411000.00000000006","RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013"
10518914,m,w,"9627727,9627276,10441646,9627418,9627577","2000000.0,2000000.0,1856000.0,2000000.0,2000000.0","RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035"
10770832,f,w,"8876643,8722121,10770832,10770711,10271986","266000.0,266000.0,515000.0,515000.0,174000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-23-013,RFA-DE-23-013,RFA-CA-20-025"
8380026,m,w,"8926397,8436395,8545842,9136088,8734406","66500.0,68500.0,67500.0,65500.0,66500.0","RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028"
10592409,f,w,"9900738,9098149,9246424,9361621,9252098","615000.0,655000.0,625000.0,625000.0,625000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
8339880,m,w,"8518215,8532795,8370150,8368840,8367812","67500.0,67500.0,68500.0,68500.0,68500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
9592088,m,a,"10451808,10296363,10670199,10051363,10053515","535000.0,580000.0,515000.0,615000.0,615000.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-19-007,RFA-DK-19-007"
10008967,m,w,"8473899,8129826,8543511,8543513,8473898","1350000.0,1400000.0,1350000.0,1350000.0,1350000.0","RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027"
10134972,f,w,"9319995,9487321,10134972,10177830,9905327","250000.0,250000.0,869999.9999999999,869999.9999999999,922500.0","RFA-MH-17-400,RFA-MH-17-400,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"10416034,10660990,10173772,10173776,10173777","1605000.0,1545000.0,1739999.9999999998,1739999.9999999998,1739999.9999999998","RFA-ES-18-011,RFA-ES-18-011,RFA-ES-18-011,RFA-ES-18-011,RFA-ES-18-011"
8535751,m,w,"8715797,8911299,8261637,8261836,8535751","66500.0,66500.0,70000.0,70000.0,67500.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"9989832,10227178,10159887,10457348,10469691","615000.0,580000.0,535000.0,535000.0,535000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
8769602,m,a,"8367812,8368840,8532795,8529444,8518213","68500.0,68500.0,67500.0,67500.0,67500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
10406304,f,w,"10743669,10744678,10744578,10477046,9841250","1030000.0,1030000.0,1030000.0,535000.0,615000.0","RFA-MH-22-190,RFA-MH-22-190,RFA-MH-22-190,RFA-CA-18-027,RFA-CA-18-027"
9987453,f,w,"8565628,8725571,8724343,8565991,8566312","270000.0,266000.0,266000.0,270000.0,270000.0","RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003"
9525273,m,w,"8382277,8042887,8516450,8516454,8381801","1370000.0,1440000.0,1350000.0,1350000.0,1370000.0","RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022"
10541697,m,h,"8729571,9115721,8640299,8639766,9120848","332500.0,327500.0,337500.0,337500.0,327500.0","RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007"
8856535,m,w,"9081471,8895833,8820238,9433510,9420513","655000.0,665000.0,665000.0,625000.0,625000.0","RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042,RFA-AI-12-042"
7886873,m,w,"10368045,10085913,10381455,10437588,10433822","428000.0,464000.0,428000.0,428000.0,412000.0","RFA-CA-19-064,RFA-CA-19-064,RFA-CA-19-064,RFA-CA-19-064,RFA-CA-19-064"
10488630,f,a,"9787107,9936112,9654946,10458695,10087183","615000.0,615000.0,625000.0,160500.0,184500.0","RFA-AG-18-024,RFA-AG-18-024,RFA-AG-18-024,RFA-AG-20-031,RFA-AG-20-031"
9137625,f,w,"9103568,9098341,9102722,9100305,9546412","199500.0,199500.0,199500.0,199500.0,187500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"10747205,10225131,10618169,10618172,10631896","123600.0,145000.0,128750.0,128750.0,128750.0","RFA-HD-23-027,RFA-HD-21-010,RFA-HD-21-010,RFA-HD-21-010,RFA-HD-21-010"
9485284,m,w,"9476791,9124887,8867550,8867004,9478201","2812500.0,2947500.0,2992500.0,2992500.0,2812500.0","RFA-GM-15-001,RFA-GM-15-001,RFA-GM-15-001,RFA-GM-15-001,RFA-GM-15-001"
8070326,m,w,"9363390,9926211,9363104,9696739,9700443","937500.0,922500.0,937500.0,922500.0,922500.0","RFA-AI-16-034,RFA-AI-16-034,RFA-AI-16-034,RFA-AI-16-034,RFA-AI-16-034"
8068031,f,w,"9967114,9824399,9824403,9826883,9826884","615000.0,615000.0,615000.0,615000.0,615000.0","RFA-MD-18-012,RFA-MD-18-012,RFA-MD-18-012,RFA-MD-18-012,RFA-MD-18-012"
9961343,m,w,"9478513,9476552,9478480,9476389,9478515","468750.0,468750.0,468750.0,468750.0,468750.0","RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005"
8870884,m,h,"10707213,10630593,10631646,10740364,10058037","515000.0,535000.0,515000.0,515000.0,147600.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-HL-20-006"
9150566,m,w,"8913347,9669066,8912671,8913586,9459899","124147.52,114813.12,124147.52,124147.52,116680.0","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
10478136,m,w,"8144938,7943167,8734648,8545224,8545225","1800000.0,1825000.0,1687500.0,1687500.0,1687500.0","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
10343347,m,w,"10343347,10347760,10348223,10557171,10569619","802500.0,802500.0,802500.0,772500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
