APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_p_w,APPVAL_RECS_bert-xxxxx_p_w,FOA_RECS_bert-xxxxx_p_w
8962105,m,b,"10645467,10645719,10645746,10645964,9932272","515000.0,515000.0,515000.0,515000.0,615000.0","RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-15-018"
7885660,m,w,"8996081,9291402,9146268,9494700,9177874","399000.0,375000.0,393000.0,3000000.0,3144000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-MH-16-600,RFA-MH-16-600"
8722014,f,w,"9291402,8996081,9146268,9519819,9967926","375000.0,399000.0,393000.0,625000.0,615000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-16-022,RFA-AG-16-022"
9421907,f,w,"10491848,10670680,10372447,9654628,9654389","267500.0,257500.0,290000.0,4125000.0,4125000.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-AG-18-021,RFA-AG-18-021"
10017961,m,w,"10689928,10528845,8758050,8369767,8367889","515000.0,535000.0,332500.0,274000.0,274000.0","RFA-DA-22-009,RFA-DA-22-009,RFA-AG-14-012,RFA-AG-12-008,RFA-AG-12-008"
9682510,f,w,"9812311,9494700,9706654,9319816,9177874","3000000.0,3000000.0,2952000.0,3000000.0,3144000.0","RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600"
8932663,m,w,"9090775,9089463,9313927,9335971,9509503","589500.0,589500.0,562500.0,562500.0,562500.0","RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001"
8810682,m,w,"8509163,9213339,8794412,8617223,9000120","1012500.0,937500.0,997500.0,997500.0,982500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
10686340,m,w,"9517023,9697814,9316605,9951035,9173599","562500.0,553500.0,562500.0,553500.0,589500.0","RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017"
7551990,f,h,"9755097,9985212,10664948,9566197,9557490","937500.0,922500.0,772500.0,937500.0,937500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
