APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biobert_o_w,APPVAL_RECS_biobert_o_w,FOA_RECS_biobert_o_w
8962105,m,b,"9174325,9172674,8962105,8959886,8961416","98250.0,98250.0,99750.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"7646502,7881422,7879920,7884302,7816331","985500.0,972000.0,972000.0,972000.0,985500.0","RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007,RFA-HL-06-007"
8722014,f,w,"10508735,10508738,10571461,10673954,10690728","160500.0,160500.0,154500.0,154500.0,154500.0","RFA-HL-22-010,RFA-HL-22-010,RFA-HL-22-010,RFA-HL-22-010,RFA-HL-22-010"
9421907,f,w,"10650877,10641819,10430544,10430514,7645025","309000.0,309000.0,321000.0,321000.0,438000.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-06-003"
10017961,m,w,"10488757,10645854,10361741,10363505,10746147","59920.0,59920.0,64959.99999999999,64959.99999999999,58413.36","RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-21-033"
9682510,f,w,"9188418,9686784,9931291,9931288,9931275","327500.0,307500.0,307500.0,307500.0,307500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"8338848,8326059,8078440,8155178,8035156","274000.0,274000.0,280000.0,280000.0,280000.0","RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001"
8810682,m,w,"8462844,8463063,8838751,8793174,8857379","405000.0,405000.0,399000.0,399000.0,399000.0","RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006"
10686340,m,w,"10472040,10472038,10108752,10108753,10108754","2675000.0,2675000.0,3075000.0,3075000.0,3075000.0","RFA-OD-20-007,RFA-OD-20-007,RFA-OD-20-007,RFA-OD-20-007,RFA-OD-20-007"
7551990,f,h,"7922626,8137255,7681140,10582606,10359121","835200.0,812000.0,846800.0,51500.0,53500.0","RFA-ES-06-005,RFA-ES-06-005,RFA-ES-06-005,RFA-ES-19-010,RFA-ES-19-010"
9781466,m,w,"10475134,10017153,10250429,10250428,10692636","5617500.0,6457500.0,6090000.0,6090000.0,5407500.0","RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010,RFA-AG-19-010"
8060626,m,w,"10129368,10633134,10694224,10694221,10694216","1160000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"9451957,9972763,9146201,9146207,9146144","1875000.0,1845000.0,1965000.0,1965000.0,1965000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"10056070,10544315,10056072,10056071,10056069","1450000.0,1287500.0,1450000.0,1450000.0,1450000.0","RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002"
10676778,m,w,"10215388,9941050,10626813,10626809,10626807","580000.0,615000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"8638039,8442911,8081370,8081289,8081465","266000.0,270000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"8719021,9116838,8549276,8545670,8543644","665000.0,655000.0,675000.0,675000.0,675000.0","RFA-RM-11-004,RFA-RM-11-004,RFA-RM-11-004,RFA-RM-11-004,RFA-RM-11-004"
9960850,m,w,"10624283,9654886,9878744,9882207,9923517","3296000.0,3936000.0,3936000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"8214696,7921642,7920833,8119772,8098843","411000.00000000006,432000.0,432000.0,420000.0,420000.0","RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004"
9998967,m,w,"9313905,9695988,9695992,9696385,9696386","312500.0,307500.0,307500.0,307500.0,307500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
9935976,f,w,"8456143,8330544,8644947,8329146,8486383","303750.0,308250.0,299250.0,685000.0,675000.0","RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-060,RFA-MH-12-060"
9539516,m,w,"8358286,8352997,8335509,8355435,8353361","411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005,RFA-RM-11-005"
10518914,m,w,"10733396,10733193,10733397,10732948,10732949","834300.0,834300.0,834300.0,834300.0,834300.0","RFA-CA-22-012,RFA-CA-22-012,RFA-CA-22-012,RFA-CA-22-012,RFA-CA-22-012"
10770832,f,w,"8722121,8876643,8899919,8547574,8680213","266000.0,266000.0,266000.0,270000.0,266000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-12-007,RFA-DE-12-007,RFA-DE-12-007"
8380026,m,w,"8382565,8379093,8380024,8382567,8380026","274000.0,274000.0,274000.0,274000.0,274000.0","RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009"
10592409,f,w,"10238912,9767009,9767005,9736620,9736616","232000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
