APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biobert_p_wi,APPVAL_RECS_biobert_p_wi,FOA_RECS_biobert_p_wi
8962105,m,b,"10335171,9657194,10083763,9843530,9174325","428000.0,492000.0,464000.0,492000.0,98250.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-005"
7885660,m,w,"8890180,9338933,8732625,8721480,8793915","665000.0,655000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"7664365,7664378,7867439,7672283,10343750","511000.0,511000.0,511000.0,511000.0,342400.0","RFA-HL-06-003,RFA-HL-06-003,RFA-HL-06-003,RFA-HL-06-003,RFA-HL-19-002"
9421907,f,w,"9698245,9143829,9282384,9697743,9145617","307500.0,332500.0,312500.0,307500.0,327500.0","RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008"
10017961,m,w,"7898854,8111777,7898861,8111773,8111772","5431200.0,5356800.0,5431200.0,5356800.0,5356800.0","RFA-DK-06-503,RFA-DK-06-503,RFA-DK-06-503,RFA-DK-06-503,RFA-DK-06-503"
9682510,f,w,"10378786,10665746,10491953,9949294,9446458","667000.0,592250.0,615250.0,1230000.0,1250000.0","RFA-DA-21-029,RFA-DA-21-029,RFA-DA-21-029,RFA-AT-17-001,RFA-AT-17-001"
8932663,m,w,"10715024,10715026,10715023,10715022,10712297","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-CA-22-046,RFA-CA-22-046,RFA-CA-22-046,RFA-CA-22-046,RFA-CA-22-046"
8810682,m,w,"10723636,10731277,10723635,10731713,10731712","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038"
10686340,m,w,"9270571,9031830,8877784,9069905,9098759","187500.0,196500.0,199500.0,196500.0,196500.0","RFA-RM-15-004,RFA-RM-14-005,RFA-RM-14-005,RFA-RM-14-005,RFA-RM-14-005"
7551990,f,h,"9593474,9378784,9591760,9591339,9181407","584250.0,593750.0,584250.0,584250.0,593750.0","RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014"
9781466,m,w,"9745070,9981226,9751424,9694293,9651334","312500.0,307500.0,307500.0,307500.0,307500.0","RFA-NS-16-013,RFA-NS-16-013,RFA-NS-16-013,RFA-NS-16-013,RFA-NS-16-013"
8060626,m,w,"9265073,8443953,9262211,9189717,8441162","62500.0,67500.0,62500.0,62500.0,67500.0","RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015"
9896674,f,a,"8472305,8472725,8925140,8900335,8473018","270000.0,270000.0,266000.0,266000.0,270000.0","RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001"
10424380,m,a,"8900879,8510528,8460995,8307287,8508767","665000.0,675000.0,685000.0,685000.0,675000.0","RFA-AA-11-002,RFA-AA-11-002,RFA-AA-11-002,RFA-AA-11-002,RFA-AA-11-002"
10676778,m,w,"8681153,8380605,8532644,8475561,8479319","532000.0,548000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8004987,7798554,7794928,7638663,7612658","252000.0,259200.0,259200.0,262800.0,262800.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"8381484,8053125,8130769,8119034,7715174","2740000.0,2880000.0,2800000.0,2800000.0,2920000.0","RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009"
9960850,m,w,"9928349,10330573,10468080,9838705,9858268","3936000.0,3424000.0,3424000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"8688286,7739524,7740475,7741453,8514952","332500.0,365000.0,365000.0,365000.0,337500.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"8236738,8235304,8325516,8325515,8325528","280000.0,280000.0,274000.0,274000.0,274000.0","RFA-ES-11-004,RFA-ES-11-004,RFA-ES-11-004,RFA-ES-11-004,RFA-ES-11-004"
9935976,f,w,"8657325,8657324,8456143,8644947,8330544","266000.0,266000.0,303750.0,299250.0,308250.0","RFA-MH-14-140,RFA-MH-14-140,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061"
9539516,m,w,"9527152,9773310,9513717,9545258,9058544","468750.0,468750.0,468750.0,468750.0,491250.0","RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006"
10518914,m,w,"10703488,10525194,10729276,10525286,10525284","1545000.0,1605000.0,1545000.0,1605000.0,1605000.0","RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048"
10770832,f,w,"8876643,8722121,8446031,8539592,8537894","266000.0,266000.0,274000.0,270000.0,270000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-12-012,RFA-DE-12-012,RFA-DE-12-012"
8380026,m,w,"9763620,9186889,9186886,9186195,9186361","307500.0,327500.0,327500.0,327500.0,327500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"7680243,7680230,7920814,7920822,7708096","438000.0,438000.0,432000.0,432000.0,2628000.0","RFA-AT-06-004,RFA-AT-06-004,RFA-AT-06-004,RFA-AT-06-004,RFA-AT-08-004"
8339880,m,w,"10198688,10201470,9737810,9737811,9737814","957000.0,957000.0,1014750.0,1014750.0,1014750.0","RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007"
9592088,m,a,"10528347,10694921,10707960,10707954,10707948","535000.0,515000.0,515000.0,515000.0,515000.0","RFA-DK-21-024,RFA-DK-21-024,RFA-DK-21-024,RFA-DK-21-024,RFA-DK-21-024"
10008967,m,w,"9320708,9067244,8846544,8846541,8846546","1250000.0,1310000.0,1330000.0,1330000.0,1330000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"7918060,8082702,7758387,7758388,7755120","357120.0,347200.0,362080.0,362080.0,362080.0","RFA-HL-09-009,RFA-HL-09-009,RFA-HL-09-009,RFA-HL-09-009,RFA-HL-09-009"
8988958,f,b,"8791901,8791686,8826120,9113017,8990840","266000.0,266000.0,266000.0,250000.0,262000.0","RFA-ES-12-009,RFA-ES-12-009,RFA-ES-12-009,RFA-ES-12-009,RFA-ES-12-009"
8535751,m,w,"8261836,8926974,8715797,8715796,8260907","70000.0,66500.0,66500.0,66500.0,70000.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"7932712,8141235,7789192,8536794,8320216","720000.0,700000.0,730000.0,675000.0,685000.0","RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004"
8769602,m,a,"9123490,8958749,9122273,9118828,9132665","98250.0,99750.0,98250.0,98250.0,98250.0","RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007"
10406304,f,w,"7681298,7674747,7799045,7847630,8056501","438000.0,438000.0,432000.0,432000.0,420000.0","RFA-RM-07-004,RFA-RM-07-004,RFA-RM-07-004,RFA-RM-07-004,RFA-RM-07-004"
9987453,f,w,"9927973,10413034,10165449,9753104,9597601","861000.0,749000.0,812000.0,861000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9525273,m,w,"8705846,9038249,9263887,8843779,8410439","199500.0,196500.0,187500.0,199500.0,205500.00000000003","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-11-018"
10541697,m,h,"10610128,10710194,10754746,10754742,10754481","62060.0,59740.0,59740.0,59740.0,59740.0","RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012,RFA-NS-21-012"
8856535,m,w,"10459932,10614019,10469109,10469110,10469111","1070000.0,1030000.0,1070000.0,1070000.0,1070000.0","RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013"
7886873,m,w,"10699969,10700014,10699972,10309096,10309092","1030000.0,1030000.0,1030000.0,1160000.0,1160000.0","RFA-HD-21-002,RFA-HD-21-002,RFA-HD-21-002,RFA-HD-21-002,RFA-HD-21-002"
10488630,f,a,"9734842,9732844,9739064,9738982,9738727","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003"
9137625,f,w,"9114403,8460212,8460204,8458449,8459070","393000.0,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8085924,m,w,"8126239,8105505,7690893,7675243,7846327","490000.0,490000.0,511000.0,511000.0,511000.0","RFA-HD-06-007,RFA-HD-06-007,RFA-HD-06-007,RFA-HD-06-007,RFA-HD-06-007"
9485284,m,w,"8534172,8534171,8534174,8534170,8534155","2700000.0,2700000.0,2700000.0,2700000.0,2700000.0","RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009"
8070326,m,w,"8814164,8248700,8243502,8277010,8261683","399000.0,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-AI-10-010,RFA-AI-10-010,RFA-AI-10-010,RFA-AI-10-010,RFA-AI-10-010"
8068031,f,w,"8723688,8530046,8933610,8933600,8723687","6650000.0,6750000.0,6650000.0,6650000.0,6650000.0","RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006"
9961343,m,w,"8907771,8528512,8520173,8533787,8520162","399000.0,405000.0,405000.0,405000.0,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"9627119,9627115,9627121,9627668,9627117","1000000.0,1000000.0,1000000.0,1000000.0,1000000.0","RFA-CA-17-032,RFA-CA-17-032,RFA-CA-17-032,RFA-CA-17-032,RFA-CA-17-032"
9150566,m,w,"10152593,9729486,9724615,10194495,10171850","869999.9999999999,922500.0,922500.0,869999.9999999999,869999.9999999999","RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004"
10478136,m,w,"8882496,9084601,8882499,8686403,9084602","2394000.0,2358000.0,2394000.0,2394000.0,2358000.0","RFA-RM-13-004,RFA-RM-13-004,RFA-RM-13-004,RFA-RM-13-004,RFA-RM-13-004"
10343347,m,w,"10569619,10557171,10348223,10347760,10343347","772500.0,772500.0,802500.0,802500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"8468474,8455301,8672570,8662583,8013407","1027500.0,1050000.0,997500.0,997500.0,1080000.0","RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001"
10744343,f,a,"7673472,7648246,10740765,10043873,7799677","219000.0,219000.0,515000.0,246000.0,720000.0","RFA-DA-05-005,RFA-DA-05-005,RFA-DA-23-028,RFA-DA-20-001,RFA-DA-05-007"
10116708,f,w,"9142352,9491874,9143168,9020613,9016165","393000.0,375000.0,393000.0,399000.0,399000.0","RFA-HL-15-022,RFA-HL-15-022,RFA-HL-15-022,RFA-HL-15-022,RFA-HL-15-022"
9080334,m,w,"8725468,8187074,8475561,8479319,8479321","532000.0,560000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"10117747,10465187,10684730,10267723,10578616","492000.0,428000.0,412000.0,464000.0,515000.0","RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-006,RFA-HG-21-041"
9114017,m,h,"9287847,10131127,10132968,10134988,10134991","625000.0,580000.0,580000.0,580000.0,580000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
8380038,m,w,"8111997,7885185,7886939,7886453,8077877","420000.0,432000.0,432000.0,432000.0,420000.0","RFA-LM-09-001,RFA-LM-09-001,RFA-LM-09-001,RFA-LM-09-001,RFA-LM-09-001"
8468754,f,w,"8825531,9245732,9022512,8604915,7654129","3192000.0,3000000.0,3144000.0,3192000.0,730000.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-06-002"
7737637,m,w,"10475527,10476013,10589115,10589937,10469109","214000.0,214000.0,206000.0,206000.0,1070000.0","RFA-MH-21-226,RFA-MH-21-226,RFA-MH-21-226,RFA-MH-21-226,RFA-AI-21-013"
8664703,m,w,"8173824,8173882,7961479,7961480,7961481","72000.0,72000.0,73000.0,73000.0,73000.0","RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002"
8377171,m,w,"10442630,10684150,10652520,10652516,10652509","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031"
8130689,m,w,"8145186,8486608,8036571,8043433,8043965","280000.0,280000.0,288000.0,288000.0,288000.0","RFA-DK-10-002,RFA-DK-10-002,RFA-DK-10-002,RFA-DK-10-002,RFA-DK-10-002"
10495240,m,w,"9755115,9923712,10316144,10315914,10313728","246000.0,246000.0,232000.0,232000.0,232000.0","RFA-HD-19-018,RFA-HD-19-018,RFA-HD-21-030,RFA-HD-21-030,RFA-HD-21-030"
9787108,m,w,"10434464,10624857,10426470,10434342,10434599","535000.0,515000.0,535000.0,535000.0,535000.0","RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006"
8036022,m,w,"9932330,9722052,10148630,10168437,9703884","922500.0,922500.0,869999.9999999999,869999.9999999999,922500.0","RFA-AI-16-034,RFA-AI-16-034,RFA-AI-16-034,RFA-AI-16-034,RFA-AI-16-034"
10359813,m,w,"10594566,10104344,10426754,10426540,10321656","206000.0,232000.0,214000.0,214000.0,214000.0","RFA-MH-20-351,RFA-MH-20-351,RFA-MH-20-351,RFA-MH-20-351,RFA-MH-20-351"
9753241,m,w,"8136253,7923099,7684598,9689448,9536297","350000.0,360000.0,365000.0,246000.0,250000.0","RFA-MH-07-070,RFA-MH-07-070,RFA-MH-07-070,RFA-ES-17-004,RFA-ES-17-004"
8659443,m,w,"9778989,9070675,8913969,8925885,8910705","187500.0,196500.0,199500.0,199500.0,199500.0","RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010"
9706081,f,a,"10095572,10094515,10093953,10264881,10458695","615000.0,615000.0,615000.0,174000.0,160500.0","RFA-AG-20-033,RFA-AG-20-033,RFA-AG-20-033,RFA-AG-20-031,RFA-AG-20-031"
8698446,m,w,"9324029,9747330,9533890,8951512,9114642","336250.0,330870.0,336250.0,357770.0,352390.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"10823828,8213295,8214456,8213981,8214049","515000.0,28000.0,28000.0,28000.0,28000.0","RFA-FD-23-010,RFA-DE-11-003,RFA-DE-11-003,RFA-DE-11-003,RFA-DE-11-003"
9527838,m,w,"7848683,7996282,7869504,7911439,7555050","292000.0,288000.0,292000.0,292000.0,135185.78","RFA-EY-07-001,RFA-EY-07-001,RFA-NS-07-004,RFA-NS-07-004,RFA-AG-07-004"
9994751,m,w,"10655644,10490441,10490327,10326762,10326565","515000.0,535000.0,535000.0,580000.0,580000.0","RFA-DK-20-024,RFA-DK-20-024,RFA-DK-20-024,RFA-DK-20-024,RFA-DK-20-024"
10216205,m,w,"10688715,10688981,8359656,8360554,8360555","284038.98,284038.98,280000.0,280000.0,280000.0","RFA-CA-22-017,RFA-CA-22-017,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
9355575,m,w,"10661443,10661350,10661441,10661440,10661439","1545000.0,1545000.0,1545000.0,1545000.0,1545000.0","RFA-CA-22-015,RFA-CA-22-015,RFA-CA-22-015,RFA-CA-22-015,RFA-CA-22-015"
8874375,m,w,"10440063,9961967,9961964,9961963,9961919","1160000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
8132845,m,w,"7682983,7643794,7931241,10465255,9788531","292000.0,292000.0,292000.0,535000.0,615000.0","RFA-MH-08-060,RFA-MH-08-060,RFA-MH-08-060,RFA-MH-18-600,RFA-MH-18-600"
9561922,m,w,"7668684,7677989,7677986,7677984,7662466","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
8710052,m,w,"8536845,8306864,8324720,8322067,8322068","337500.0,342500.0,342500.0,342500.0,342500.0","RFA-GM-10-009,RFA-GM-10-009,RFA-GM-10-009,RFA-GM-10-009,RFA-GM-10-009"
10116392,f,w,"8913969,9284475,8756564,8758202,8757453","199500.0,187500.0,199500.0,199500.0,199500.0","RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010"
9552433,m,b,"8914169,9119535,8784175,8919722,8391950","1223600.0,1205200.0,1223600.0,1223600.0,1260400.0","RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008"
8907762,m,h,"8148016,8097979,8072302,8147995,7898688","1080000.0,1050000.0,1080000.0,1080000.0,1080000.0","RFA-DK-06-010,RFA-DK-06-010,RFA-DK-06-010,RFA-DK-06-010,RFA-DK-06-010"
7691839,f,w,"7691838,7691405,7940507,7893813,7691833","365000.0,365000.0,365000.0,360000.0,292000.0","RFA-RM-08-010,RFA-RM-08-010,RFA-RM-08-010,RFA-RM-08-010,RFA-RM-08-011"
7914250,m,w,"10429878,10677598,9308844,9734993,9100633","294250.0,283250.0,2187500.0,2152500.0,2292500.0","RFA-HL-22-002,RFA-HL-22-002,RFA-AI-13-006,RFA-AI-13-006,RFA-AI-13-006"
8903741,f,w,"8901736,8327745,8327757,8326506,8327747","6783000.0,6987000.000000001,6987000.000000001,6987000.000000001,6987000.000000001","RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006"
10207339,m,a,"7652453,7681785,7888746,8137313,8094480","365000.0,365000.0,365000.0,350000.0,350000.0","RFA-AA-07-020,RFA-AA-07-020,RFA-AA-07-020,RFA-AA-07-020,RFA-AA-07-020"
10302868,f,w,"8958971,8958727,9123490,9123491,9130073","99750.0,99750.0,98250.0,98250.0,98250.0","RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007"
8070452,m,w,"7809508,8061599,7671769,7688822,7688825","648000.0,630000.0,657000.0,657000.0,657000.0","RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010"
9551105,m,w,"10493219,10695043,10703249,10703246,10703244","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-NS-21-001,RFA-NS-21-001,RFA-NS-21-001,RFA-NS-21-001,RFA-NS-21-001"
10223141,f,w,"9542200,9947879,9963123,9963121,9963120","1250000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
10573185,m,w,"10690429,10690459,10688002,10688012,10688023","1802500.0,1802500.0,1802500.0,1802500.0,1802500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
9257399,f,w,"9756578,9980397,9024533,9440573,9655324","468750.0,461250.0,491250.0,468750.0,461250.0","RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013"
8518235,f,w,"10724220,10731277,10723635,10723636,10723637","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038"
8318381,m,w,"9859384,9648134,10224426,10102226,10102228","49200.0,49200.0,49200.0,46400.0,46400.0","RFA-DK-16-021,RFA-DK-16-021,RFA-DK-16-021,RFA-DK-16-021,RFA-DK-16-021"
