APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biobert_r_wi,APPVAL_RECS_biobert_r_wi,FOA_RECS_biobert_r_wi
8962105,m,b,"9843530,9657194,10083763,10335171,8997188","492000.0,492000.0,464000.0,428000.0,332500.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-15-024"
7885660,m,w,"8247968,8536037,8721480,8793915,9338933","700000.0,685000.0,665000.0,665000.0,655000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9236973,9352457,9999273,9946863,9506944","28820000.0,28820000.0,33210000.0,33210000.0,33750000.0","RFA-DK-15-506,RFA-DK-15-506,RFA-DK-17-508,RFA-DK-17-508,RFA-DK-17-508"
9421907,f,w,"9264670,9264682,9264661,9264681,8580451","458500.0,458500.0,458500.0,458500.0,270000.0","RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-13-007"
10017961,m,w,"8113970,8113928,8312656,8537434,7800089","105000.0,105000.0,102750.0,101250.0,109500.0","RFA-DK-08-015,RFA-DK-08-015,RFA-DK-08-015,RFA-DK-08-015,RFA-DK-08-015"
9682510,f,w,"10592780,10709636,8272453,7754913,8511844","802500.0,772500.0,657600.0,700800.0,648000.0","RFA-TR-22-012,RFA-TR-22-012,RFA-NR-09-002,RFA-NR-09-002,RFA-NR-09-002"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","2520000.0,2450000.0,2555000.0,2555000.0,2362500.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"8992823,9114745,8846763,8915889,8927476","664998.67,664998.67,664998.67,664998.67,664998.67","RFA-HL-14-023,RFA-HL-14-023,RFA-HL-14-023,RFA-HL-14-023,RFA-HL-14-023"
10686340,m,w,"9127285,9350179,9557588,9545517,9557074","1637500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"8112468,7682323,8112469,7929527,8145360","1008000.0,1022000.0,1008000.0,1008000.0,1008000.0","RFA-ES-05-006,RFA-ES-05-006,RFA-ES-05-006,RFA-ES-05-006,RFA-ES-05-006"
9781466,m,w,"8847623,9291406,9065464,8605381,8849787","66500.0,62500.0,65500.0,66500.0,266000.0","RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-13-014,RFA-AG-14-017"
8060626,m,w,"8874376,9772439,9282424,9274294,9272886","1662500.0,1537500.0,1562500.0,1562500.0,1562500.0","RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004"
9896674,f,a,"9581297,9098789,9513325,8996860,8996965","437500.0,458500.0,437500.0,465500.0,465500.0","RFA-MD-15-001,RFA-MD-15-001,RFA-MD-15-001,RFA-MD-15-001,RFA-MD-15-001"
10424380,m,a,"9538559,9302630,9302607,9302636,9323204","2250000.0,2250000.0,2250000.0,2250000.0,2250000.0","RFA-AA-13-001,RFA-AA-13-001,RFA-AA-13-001,RFA-AA-13-001,RFA-AA-13-001"
10676778,m,w,"10488613,10459376,10232590,10232591,10232592","535000.0,535000.0,580000.0,580000.0,580000.0","RFA-AR-21-004,RFA-AR-21-004,RFA-AR-21-004,RFA-AR-21-004,RFA-AR-21-004"
7637363,m,w,"8898859,8251933,8251947,8251929,8251945","266000.0,274000.0,274000.0,274000.0,274000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"8970729,8554927,9198951,8412515,8412332","1310000.0,1350000.0,1250000.0,1370000.0,1370000.0","RFA-RM-11-006,RFA-RM-11-006,RFA-RM-11-006,RFA-RM-11-006,RFA-RM-11-006"
9960850,m,w,"7637487,7643632,7782686,7787067,7898717","365000.0,365000.0,360000.0,360000.0,360000.0","RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012"
8119772,m,w,"8487419,7931910,7932083,8298230,8494063","337500.0,360000.0,360000.0,342500.0,337500.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"7886194,7843094,7645393,8266494,8550177","730000.0,730000.0,6205000.0,5822500.0,5822500.0","RFA-GM-06-001,RFA-GM-06-001,RFA-RM-08-001,RFA-RM-08-001,RFA-RM-08-001"
9935976,f,w,"8644947,8456143,8330544,8329146,8644944","299250.0,303750.0,308250.0,685000.0,665000.0","RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-060,RFA-MH-12-060"
9539516,m,w,"9978832,9476269,9474647,9533662,9478263","922500.0,937500.0,937500.0,937500.0,937500.0","RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002"
10518914,m,w,"10704611,10729278,10729276,10729274,10708930","1545000.0,1545000.0,1545000.0,1545000.0,1545000.0","RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048"
10770832,f,w,"8722121,8876643,10697377,10697376,10697369","266000.0,266000.0,1030000.0,1030000.0,1030000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-21-054,RFA-CA-21-054,RFA-CA-21-054"
8380026,m,w,"9186641,9352830,9354433,9354452,9344615","327500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"8933654,9351552,9149295,9351541,9351545","6650000.0,6250000.0,6550000.0,6250000.0,6250000.0","RFA-GM-15-003,RFA-GM-15-003,RFA-GM-15-003,RFA-GM-15-003,RFA-GM-15-003"
8339880,m,w,"8721302,8529445,8725037,8699113,8715665","266000.0,270000.0,266000.0,266000.0,266000.0","RFA-AG-12-004,RFA-AG-12-004,RFA-AG-12-004,RFA-AG-12-004,RFA-AG-12-004"
9592088,m,a,"10451808,10670199,10296363,10454343,9593805","535000.0,515000.0,580000.0,267500.0,312500.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-17-034,RFA-DK-17-034"
10008967,m,w,"10712148,10712149,10712150,10712151,10712152","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001"
10134972,f,w,"8536362,8340090,8340858,8340889,8340598","270000.0,274000.0,274000.0,274000.0,274000.0","RFA-HD-12-204,RFA-HD-12-204,RFA-HD-12-204,RFA-HD-12-204,RFA-HD-12-204"
8988958,f,b,"9781721,9761855,9581898,9385374,10203965","307500.0,307500.0,312500.0,312500.0,290000.0","RFA-ES-16-004,RFA-ES-16-004,RFA-ES-16-004,RFA-ES-16-004,RFA-ES-16-004"
8535751,m,w,"8926974,8911299,8333419,8333456,8333429","66500.0,66500.0,68500.0,68500.0,68500.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"10457348,9774044,9627114,9636928,9637861","535000.0,615000.0,625000.0,625000.0,625000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
8769602,m,a,"8715665,8901888,8717552,9056601,9066101","266000.0,266000.0,266000.0,262000.0,262000.0","RFA-AG-12-004,RFA-AG-12-004,RFA-AG-12-004,RFA-AG-12-004,RFA-AG-12-004"
10406304,f,w,"10678256,10684535,8535305,8823040,8823037","231750.0,231750.0,506250.00000000006,498750.0,498750.0","RFA-DA-23-010,RFA-DA-23-010,RFA-DA-13-001,RFA-DA-13-001,RFA-DA-13-001"
9987453,f,w,"7908066,7895795,7664374,8958950,8956917","2628000.0,2592000.0,2628000.0,99750.0,99750.0","RFA-AG-07-003,RFA-AG-07-003,RFA-AG-07-003,RFA-AG-15-007,RFA-AG-15-007"
9525273,m,w,"9088303,8508875,8508879,8868907,8897984","24890000.0,25650000.0,25650000.0,25270000.0,25270000.0","RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002"
10541697,m,h,"9135401,9056202,9145675,9146349,9150623","262000.0,266000.0,262000.0,262000.0,262000.0","RFA-EY-15-001,RFA-EY-15-001,RFA-EY-15-001,RFA-EY-15-001,RFA-EY-15-001"
8856535,m,w,"8822937,8307769,8448656,8641735,8209570","1330000.0,1370000.0,1350000.0,1330000.0,1400000.0","RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020"
7886873,m,w,"10700018,10458758,10458761,10474473,10474493","1030000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-HD-21-002,RFA-HD-21-002,RFA-HD-21-002,RFA-HD-21-002,RFA-HD-21-002"
10488630,f,a,"10666025,10666871,10667123,9918835,9732844","515000.0,515000.0,515000.0,123000.0,123000.0","RFA-AG-23-010,RFA-AG-23-010,RFA-AG-23-010,RFA-AG-19-003,RFA-AG-19-003"
9137625,f,w,"8729423,9114403,8528518,8528510,8525114","399000.0,393000.0,405000.0,405000.0,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8085924,m,w,"8051263,8051430,8051319,8051385,8051352","72000.0,72000.0,72000.0,72000.0,72000.0","RFA-OD-10-006,RFA-OD-10-006,RFA-OD-10-006,RFA-OD-10-006,RFA-OD-10-006"
9485284,m,w,"7905545,7905611,7905563,7905565,7905568","2920000.0,2920000.0,2920000.0,2920000.0,2920000.0","RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009"
8070326,m,w,"9625322,10547781,10334562,10335276,10358642","369000.0,309000.0,321000.0,321000.0,321000.0","RFA-AI-17-036,RFA-AI-17-036,RFA-AI-17-036,RFA-AI-17-036,RFA-AI-17-036"
8068031,f,w,"10150478,9572428,9570702,9571048,9571035","1102000.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9961343,m,w,"9114409,8528512,9320105,8520175,8520173","393000.0,405000.0,393000.0,405000.0,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"8541620,8541619,8548252,8540980,8548251","371250.0,371250.0,371250.0,371250.0,371250.0","RFA-CA-09-501,RFA-CA-09-501,RFA-CA-09-501,RFA-CA-09-501,RFA-CA-09-501"
9150566,m,w,"9097289,9730475,9517894,9960555,9307857","786000.0,738000.0,750000.0,738000.0,750000.0","RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002"
