APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_o_w,APPVAL_RECS_biomedbert_o_w,FOA_RECS_biomedbert_o_w
8962105,m,b,"10572541,10572620,10572136,10571337,10567868","721000.0,721000.0,721000.0,721000.0,721000.0","RFA-HL-23-004,RFA-HL-23-004,RFA-HL-23-004,RFA-HL-23-004,RFA-HL-23-004"
7885660,m,w,"9061803,9066226,8576062,8576608,8576079","1087300.0,1087300.0,1120500.0,1120500.0,1120500.0","RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014"
8722014,f,w,"8769006,8768959,8768204,8768514,8767346","1330000.0,1330000.0,1330000.0,1330000.0,1330000.0","RFA-TW-13-002,RFA-TW-13-002,RFA-TW-13-002,RFA-TW-13-002,RFA-TW-13-002"
9421907,f,w,"10544776,10544756,10544770,10574590,10609087","309000.0,309000.0,309000.0,309000.0,309000.0","RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002,RFA-AG-21-002"
10017961,m,w,"10746147,10361741,10363505,10645854,10488757","58413.36,64959.99999999999,64959.99999999999,59920.0,59920.0","RFA-DK-21-033,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032"
9682510,f,w,"9698417,9329496,9325589,9325588,9325587","430500.0,437500.0,437500.0,437500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"8637449,7692671,7630038,7587878,8066804","1012500.0,1080000.0,1095000.0,1095000.0,1050000.0","RFA-CA-08-011,RFA-CA-08-011,RFA-CA-08-011,RFA-CA-08-011,RFA-CA-08-011"
8810682,m,w,"8462801,8463067,8660306,8462837,8609012","405000.0,405000.0,399000.0,405000.0,399000.0","RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006"
10686340,m,w,"10018960,10675475,10675469,10675464,10675462","1230000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"9670111,9247181,8912671,8913586,8913347","114813.12,116680.0,124147.52,124147.52,124147.52","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"8165661,8501179,8501216,8501189,8501176","1190000.0,1147500.0,1147500.0,1147500.0,1147500.0","RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005"
8060626,m,w,"10382280,10633134,10694224,10694221,10694216","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"9571058,9484496,9484909,9485640,9483499","1187500.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"9617178,9698237,9617185,9617186,9619024","2214000.0,2214000.0,2214000.0,2214000.0,2214000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"8695291,8479319,8532644,8380612,8380605","532000.0,540000.0,540000.0,548000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8004982,7798157,7798552,7798554,8011168","252000.0,259200.0,259200.0,259200.0,252000.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"8341600,9116838,9127152,8708728,8710285","685000.0,655000.0,655000.0,665000.0,665000.0","RFA-RM-11-004,RFA-RM-11-004,RFA-RM-11-004,RFA-RM-11-004,RFA-RM-11-004"
9960850,m,w,"9882207,10125837,10551296,10553643,10574601","3936000.0,3712000.0,3296000.0,3296000.0,3296000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"8142733,8007413,7530830,7674585,7686900","420000.0,420000.0,438000.0,438000.0,438000.0","RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004,RFA-AT-07-004"
