APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_o_wi,APPVAL_RECS_biomedbert_o_wi,FOA_RECS_biomedbert_o_wi
8962105,m,b,"9576667,9936066,9576864,9768539,9767857","437500.0,430500.0,437500.0,430500.0,430500.0","RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022"
7885660,m,w,"9357655,9197901,9354506,9942495,9197095","625000.0,655000.0,625000.0,615000.0,655000.0","RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036,RFA-HD-16-036"
8722014,f,w,"9831503,10219251,10017222,10033596,10410498","246000.0,232000.0,246000.0,492000.0,428000.0","RFA-AG-19-023,RFA-AG-19-023,RFA-AG-19-023,RFA-HL-20-016,RFA-HL-20-016"
9421907,f,w,"9421907,9695908,9928385,9565384,10263310","437500.0,430500.0,430500.0,437500.0,290000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-20-044"
10017961,m,w,"10746147,10363505,10645854,10361741,10488757","58413.36,64959.99999999999,59920.0,64959.99999999999,59920.0","RFA-DK-21-033,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032"
9682510,f,w,"9333444,9188303,9187752,9187751,9325587","437500.0,458500.0,458500.0,458500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"9277435,8929461,9321908,9312659,9334131","250000.0,266000.0,250000.0,250000.0,250000.0","RFA-CA-14-003,RFA-CA-14-003,RFA-CA-14-003,RFA-CA-14-003,RFA-CA-14-003"
8810682,m,w,"8851491,8462801,8628065,8608505,8669983","399000.0,405000.0,399000.0,399000.0,399000.0","RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006,RFA-HS-12-006"
10686340,m,w,"7938718,7943167,8379002,8330246,8545225","1800000.0,1825000.0,1712500.0000000002,1712500.0000000002,1687500.0","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
7551990,f,h,"9246536,9460502,9044778,8912671,8913586","116680.0,116680.0,122280.64,124147.52,124147.52","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"8838020,9462721,9462749,9462741,9472250","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019"
8060626,m,w,"10626064,10626077,10622624,10622628,10622630","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9146206,9900595,9900599,9457249,9921222","1965000.0,1845000.0,1845000.0,1875000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"9679443,8978015,8978023,8977971,8978019","2214000.0,2358000.0,2358000.0,2358000.0,2358000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"8725470,8479320,8380605,8380612,8532644","532000.0,540000.0,548000.0,548000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8638042,8081491,8081289,8081465,8081510","266000.0,280000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"9382096,9381462,9381245,9699059,9382098","312500.0,312500.0,312500.0,312500.0,312500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9960850,m,w,"10086379,9858268,9878744,9882207,9923517","3712000.0,3936000.0,3936000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"7932085,7740475,8688286,7932151,7931910","360000.0,365000.0,332500.0,360000.0,360000.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"9553824,9380479,9381758,9381846,9381909","312500.0,312500.0,312500.0,312500.0,312500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9935976,f,w,"8644944,8486383,8329146,9623982,9747383","665000.0,675000.0,685000.0,281250.0,276750.0","RFA-MH-12-060,RFA-MH-12-060,RFA-MH-12-060,RFA-MH-18-605,RFA-MH-18-605"
