APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_p_w,APPVAL_RECS_biomedbert_p_w,FOA_RECS_biomedbert_p_w
8962105,m,b,"8962105,9103741,9174325,9172674,9121688","99750.0,98250.0,98250.0,98250.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"9338933,8732790,8732625,8721480,8793915","655000.0,675000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8912671,9670111,9457433,9669066,9669041","124147.52,114813.12,116680.0,114813.12,114813.12","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9421907,f,w,"9566831,9422153,9566832,9856244,9565385","312500.0,312500.0,312500.0,312500.0,312500.0","RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040,RFA-AG-17-040"
10017961,m,w,"10746147,7898858,8111778,7898852,7898851","58413.36,5431200.0,5356800.0,5431200.0,5431200.0","RFA-DK-21-033,RFA-DK-06-503,RFA-DK-06-503,RFA-DK-06-503,RFA-DK-06-503"
9682510,f,w,"8754186,8912367,9519544,9293252,9101967","465500.0,465500.0,437500.0,437500.0,458500.0","RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"10322155,10360627,10441141,10544320,10570305","533930.0,533930.0,533930.0,513970.0,513970.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"10447530,10447463,10544753,10447429,10548751","802500.0,802500.0,772500.0,802500.0,772500.0","RFA-OD-21-008,RFA-OD-21-008,RFA-OD-21-008,RFA-OD-21-008,RFA-OD-21-008"
10686340,m,w,"10559603,10724896,10727503,10711291,10721954","309000.0,103000.0,103000.0,103000.0,103000.0","RFA-TR-21-008,RFA-TR-22-030,RFA-TR-22-030,RFA-TR-22-030,RFA-TR-22-030"
7551990,f,h,"9377237,9564110,9376998,9700651,9720882","937500.0,937500.0,937500.0,922500.0,922500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
9781466,m,w,"10006152,9562023,9548545,9548544,9562025","4305000.0,4375000.0,4375000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9637673,9989832,9939013,10242772,9637861","625000.0,615000.0,615000.0,580000.0,625000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9896674,f,a,"9451946,9356867,9356869,9356872,9457245","1875000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"10350586,10056070,10350585,10544315,10544317","1337500.0,1450000.0,1337500.0,1287500.0,1287500.0","RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002,RFA-AA-20-002"
10676778,m,w,"9526088,9524992,9658441,10197344,10617940","312500.0,312500.0,307500.0,307500.0,267500.0","RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-19-013"
7637363,m,w,"9452090,9901565,9229560,9072287,9078754","250000.0,246000.0,250000.0,262000.0,262000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"7683010,7667960,7683834,7667163,7683827","730000.0,730000.0,730000.0,730000.0,730000.0","RFA-RM-07-005,RFA-RM-07-005,RFA-RM-07-005,RFA-RM-07-005,RFA-RM-07-005"
9960850,m,w,"9844531,9878744,10543729,10186853,9970386","3936000.0,3936000.0,3296000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"7741453,7738830,8136058,8322023,8298230","365000.0,365000.0,342500.0,342500.0,342500.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"8802882,9197309,8990861,8986799,8990494","332500.0,312500.0,327500.0,327500.0,327500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"9747383,9623982,9935976,7885322,7880871","276750.0,281250.0,276750.0,360000.0,360000.0","RFA-MH-18-605,RFA-MH-18-605,RFA-MH-18-605,RFA-MH-06-002,RFA-MH-06-002"
9539516,m,w,"7919259,7914219,8128696,7672396,8142026","720000.0,720000.0,700000.0,730000.0,700000.0","RFA-RM-07-005,RFA-RM-07-005,RFA-RM-07-005,RFA-RM-07-005,RFA-RM-07-005"
10518914,m,w,"9627377,9627278,9627419,10441646,9627727","2000000.0,2000000.0,2000000.0,1856000.0,2000000.0","RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035,RFA-CA-17-035"
10770832,f,w,"8722121,8876643,10519082,10518914,10707097","266000.0,266000.0,1070000.0,1070000.0,1030000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-21-054,RFA-CA-21-054,RFA-CA-21-054"
8380026,m,w,"8326083,8546369,8536275,8546370,8546375","274000.0,270000.0,270000.0,270000.0,270000.0","RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009,RFA-DK-10-009"
10592409,f,w,"9091431,9718083,9320784,9283227,9283317","524000.0,492000.0,500000.0,500000.0,500000.0","RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027,RFA-AI-14-027"
8339880,m,w,"8556760,8725040,8552312,8554953,8555728","67500.0,66500.0,67500.0,67500.0,67500.0","RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006"
9592088,m,a,"9339683,9183807,10205034,9750263,10252035","281250.0,294750.0,869999.9999999999,922500.0,869999.9999999999","RFA-DK-15-009,RFA-DK-15-009,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005"
10008967,m,w,"9705809,9306216,9144252,9306213,9306215","1230000.0,1250000.0,1310000.0,1250000.0,1250000.0","RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002"
