APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bluebert_o_wi,APPVAL_RECS_bluebert_o_wi,FOA_RECS_bluebert_o_wi
8962105,m,b,"10461105,10250563,9786826,9612814,8877436","533930.0,578840.0,613770.0,623750.0,465500.0","RFA-NS-18-004,RFA-NS-18-004,RFA-NS-18-004,RFA-NS-18-004,RFA-HL-12-007"
7885660,m,w,"8105515,7908879,8301579,8307332,8487420","350000.0,350000.0,342500.0,342500.0,337500.0","RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023"
8722014,f,w,"7923473,8034144,8035614,7938209,7780278","1095000.0,1080000.0,1080000.0,1095000.0,1086240.0","RFA-HG-06-033,RFA-HG-06-033,RFA-HG-06-033,RFA-HG-06-033,RFA-HG-06-008"
9421907,f,w,"9001684,9276547,9282384,9697743,9698245","332500.0,312500.0,312500.0,307500.0,307500.0","RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008"
10017961,m,w,"10059131,10598623,10693345,10216255,9907503","61500.0,51500.0,51500.0,57999.99999999999,61500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9187752,9698416,9333444,9333443,9333442","458500.0,430500.0,437500.0,437500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"8534049,8154990,8339429,8333396,8145493","405000.0,420000.0,411000.00000000006,411000.00000000006,420000.0","RFA-CA-10-004,RFA-CA-10-004,RFA-CA-10-004,RFA-CA-10-004,RFA-CA-10-004"
8810682,m,w,"8519011,8519816,8999126,9050849,9233920","336150.0,336150.0,331170.0,331170.0,311250.0","RFA-HS-12-007,RFA-HS-12-007,RFA-HS-12-007,RFA-HS-12-007,RFA-HS-12-007"
10686340,m,w,"10260443,10242079,10242883,10242882,10242881","1160000.0,1160000.0,1160000.0,1160000.0,1160000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"7992460,7551991,7551990,7551992,7555392","77000.0,80300.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
