APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bluebert_p_w,APPVAL_RECS_bluebert_p_w,FOA_RECS_bluebert_p_w
8962105,m,b,"9172674,8962105,9174325,9103741,9121688","98250.0,99750.0,98250.0,98250.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"7675389,7685279,7991555,7861203,7684826","511000.0,511000.0,504000.0,511000.0,511000.0","RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014"
8722014,f,w,"9022512,8604915,8825531,9245732,9719585","3144000.0,3192000.0,3192000.0,3000000.0,276750.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-19-016"
9421907,f,w,"9421907,9565384,9695908,9928385,9276547","437500.0,437500.0,430500.0,430500.0,312500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-15-008"
10017961,m,w,"7896801,7681576,7907898,7907809,7907807","360000.0,365000.0,360000.0,360000.0,360000.0","RFA-DK-05-011,RFA-DK-05-011,RFA-DK-05-011,RFA-DK-05-011,RFA-DK-05-011"
9682510,f,w,"10595896,10595133,10536567,10537743,10759550","1070000.0,1070000.0,1070000.0,1070000.0,284038.98","RFA-NS-22-037,RFA-NS-22-037,RFA-NS-22-002,RFA-NS-22-002,RFA-NS-23-006"
8932663,m,w,"10229448,9626046,10477986,10005189,10007768","580000.0,625000.0,535000.0,615000.0,615000.0","RFA-CA-17-045,RFA-CA-17-045,RFA-CA-17-045,RFA-CA-17-045,RFA-CA-17-045"
8810682,m,w,"9896763,9246424,9252096,9361622,9658412","615000.0,625000.0,625000.0,625000.0,615000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
10686340,m,w,"7936099,7660318,7666045,7681302,7885092","720000.0,730000.0,730000.0,730000.0,730000.0","RFA-RM-06-005,RFA-RM-06-005,RFA-RM-06-005,RFA-RM-06-005,RFA-RM-06-005"
7551990,f,h,"8913586,9669041,8913347,9044776,9044778","124147.52,114813.12,124147.52,122280.64,122280.64","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"8758050,9915838,10390460,9672786,9788258","332500.0,615000.0,535000.0,625000.0,615000.0","RFA-AG-14-012,RFA-AG-18-027,RFA-AG-18-027,RFA-AG-18-027,RFA-AG-18-027"
8060626,m,w,"9831921,9832007,10465020,10018031,10017180","492000.0,492000.0,412000.0,492000.0,492000.0","RFA-DK-18-002,RFA-DK-18-002,RFA-DK-18-002,RFA-DK-18-002,RFA-DK-18-002"
9896674,f,a,"9257685,9188572,9617156,9431063,9001115","131000.0,125000.0,123000.0,125000.0,299250.0","RFA-MD-15-006,RFA-MD-15-006,RFA-MD-15-006,RFA-MD-15-006,RFA-MD-15-004"
10424380,m,a,"8536992,7849341,7677333,7666251,7939058","360000.0,365000.0,365000.0,365000.0,365000.0","RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004,RFA-AA-06-004"
10676778,m,w,"9524992,9526088,9658441,10197344,10488591","312500.0,312500.0,307500.0,307500.0,535000.0","RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-17-009,RFA-AR-21-004"
7637363,m,w,"9078413,9251863,9240651,9234569,9240652","262000.0,250000.0,250000.0,250000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"9095374,8904688,8748503,8754755,8755421","229250.0,232750.0,232750.0,232750.0,232750.0","RFA-GM-14-014,RFA-GM-14-014,RFA-GM-14-014,RFA-GM-14-014,RFA-GM-14-014"
9960850,m,w,"10580155,10581160,10685659,10249327,9987210","535000.0,535000.0,515000.0,464000.0,492000.0","RFA-TR-22-013,RFA-TR-22-013,RFA-TR-22-013,RFA-TR-19-020,RFA-TR-19-020"
8119772,m,w,"10080387,10082372,10239237,10239244,10452292","461250.0,461250.0,435000.0,435000.0,107000.0","RFA-GM-19-001,RFA-GM-19-001,RFA-GM-19-001,RFA-GM-19-001,RFA-RM-21-012"
