APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_distilbert_o_w,APPVAL_RECS_distilbert_o_w,FOA_RECS_distilbert_o_w
8962105,m,b,"9565173,8997390,8997188,9323560,9145766","312500.0,332500.0,332500.0,312500.0,327500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"8723288,8576089,9061807,9061808,8577315","1103900.0,1120500.0,1087300.0,1087300.0,1120500.0","RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014,RFA-HL-13-014"
8722014,f,w,"9041010,8451833,8281251,8877436,8644874","458500.0,472500.00000000006,479500.00000000006,465500.0,465500.0","RFA-HL-12-007,RFA-HL-12-007,RFA-HL-12-007,RFA-HL-12-007,RFA-HL-12-007"
9421907,f,w,"10641819,10430544,10430514,10650877,7876773","309000.0,321000.0,321000.0,309000.0,360000.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-05-011"
10017961,m,w,"10746147,9907503,10555519,10017961,10059105","58413.36,61500.0,53500.0,61500.0,61500.0","RFA-DK-21-033,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9325588,9698418,9325587,9325589,9329494","437500.0,430500.0,437500.0,437500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"8264290,7638021,7940064,7692869,7649476","146000.0,146000.0,146000.0,1095000.0,365000.0","RFA-CA-06-006,RFA-CA-06-006,RFA-CA-06-006,RFA-CA-07-041,RFA-CA-07-036"
8810682,m,w,"10009332,9753568,9496938,10468020,10229378","1230000.0,1230000.0,1250000.0,1070000.0,1160000.0","RFA-RM-16-019,RFA-RM-16-019,RFA-RM-16-019,RFA-RM-16-019,RFA-RM-16-019"
10686340,m,w,"9146696,8890310,8765079,8929492,8894260","1637500.0,1662500.0,1662500.0,1662500.0,1662500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"10479044,10532594,10309098,10746327,10745889","214000.0,214000.0,232000.0,206000.0,206000.0","RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015,RFA-ES-20-015"
9781466,m,w,"9172098,9170763,9753084,9526366,9172095","1441000.0,1441000.0,1353000.0,1375000.0,1441000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
8060626,m,w,"10407861,10407843,10408485,10408484,10408481","1070000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9484516,10153468,10161615,10161614,10159134","1187500.0,1102000.0,1102000.0,1102000.0,1102000.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"8978010,9228310,9617183,9617182,9617181","2358000.0,2250000.0,2214000.0,2214000.0,2214000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"8380066,8158771,8725470,8725468,8725469","548000.0,560000.0,532000.0,532000.0,532000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"9229560,9078445,9251863,9234570,9244044","250000.0,262000.0,250000.0,250000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
9269218,m,w,"7666929,7667260,7666932,7666892,7664511","584000.0,584000.0,584000.0,584000.0,584000.0","RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010"
9960850,m,w,"7916426,7730603,7727520,7727133,7727142","288000.0,292000.0,292000.0,292000.0,292000.0","RFA-AG-09-004,RFA-AG-09-004,RFA-AG-09-004,RFA-AG-09-004,RFA-AG-09-004"
8119772,m,w,"8599512,8318269,8134250,8128675,8147526","945000.0,959000.0,980000.0,980000.0,1008000.0","RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012"
9998967,m,w,"8603715,8808770,8823639,9529663,9198246","332500.0,332500.0,332500.0,312500.0,312500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"8813609,9211357,8431983,9010966,8607976","664998.67,624998.75,674998.65,654998.6900000001,664998.67","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"9775448,10159887,10469691,9978061,9979867","615000.0,535000.0,535000.0,615000.0,615000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
10518914,m,w,"9902838,9902839,9902788,9902085,9627377","184500.0,184500.0,184500.0,184500.0,2000000.0","RFA-CA-19-025,RFA-CA-19-025,RFA-CA-19-025,RFA-CA-19-027,RFA-CA-17-035"
10770832,f,w,"10018841,9856802,8876643,8722121,8390609","246000.0,246000.0,266000.0,266000.0,274000.0","RFA-DE-19-008,RFA-DE-19-008,RFA-DE-14-002,RFA-DE-14-002,RFA-DE-12-005"
8380026,m,w,"10290747,10704634,10289784,10285670,10285669","464000.0,412000.0,464000.0,464000.0,464000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
10592409,f,w,"9380810,9380901,9380807,9380827,9380902","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
8339880,m,w,"8565628,8566312,8724343,8725571,8565991","270000.0,270000.0,266000.0,266000.0,270000.0","RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003"
9592088,m,a,"10460959,10460961,10460931,10460934,10460955","802500.0,802500.0,802500.0,802500.0,802500.0","RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005"
10008967,m,w,"8846545,9067246,8736363,8736366,8736371","1330000.0,1310000.0,1330000.0,1330000.0,1330000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"9487321,9319995,9869047,9471784,9559620","250000.0,250000.0,922500.0,937500.0,937500.0","RFA-MH-17-400,RFA-MH-17-400,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"10306992,10540310,10533765,10533771,10534773","535000.0,515000.0,515000.0,515000.0,515000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
8535751,m,w,"8260907,8715796,8911299,8911300,8926974","70000.0,66500.0,66500.0,66500.0,66500.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"7798069,8056024,8359581,8359582,8129510","288000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
8769602,m,a,"8593645,8728726,8897939,8867116,8853234","270000.0,266000.0,266000.0,266000.0,266000.0","RFA-AG-13-012,RFA-AG-13-012,RFA-AG-13-012,RFA-AG-13-012,RFA-AG-13-012"
10406304,f,w,"7650409,7846879,8010072,7924510,7922582","438000.0,420000.0,432000.0,432000.0,432000.0","RFA-RM-07-004,RFA-RM-07-004,RFA-RM-07-004,RFA-RM-07-004,RFA-RM-07-004"
9987453,f,w,"9122273,9123487,8958574,9120741,9123506","98250.0,98250.0,99750.0,98250.0,98250.0","RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007,RFA-AG-15-007"
9525273,m,w,"9320748,8508853,9089824,9296226,9088316","23750000.0,25650000.0,24890000.0,24890000.0,24890000.0","RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002,RFA-AI-11-002"
10541697,m,h,"8739332,9104056,8914058,8899717,8875086","332500.0,327500.0,332500.0,332500.0,332500.0","RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007"
8856535,m,w,"10092091,10078590,10673469,9844060,9872117","580000.0,535000.0,535000.0,615000.0,615000.0","RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039,RFA-AI-17-039"
7886873,m,w,"7880010,7759769,8062134,8065991,8067008","1460000.0,1460000.0,1400000.0,1400000.0,1400000.0","RFA-HD-06-005,RFA-HD-06-005,RFA-HD-06-005,RFA-HD-06-005,RFA-HD-06-005"
10488630,f,a,"9430880,9429358,9569726,9568823,8758050","62500.0,62500.0,62500.0,62500.0,332500.0","RFA-NS-17-016,RFA-NS-17-016,RFA-NS-17-016,RFA-NS-17-016,RFA-AG-14-012"
9137625,f,w,"9554600,9477238,9554610,9557462,9554639","375000.0,375000.0,375000.0,375000.0,375000.0","RFA-FD-17-010,RFA-FD-17-010,RFA-FD-17-010,RFA-FD-17-010,RFA-FD-17-010"
8085924,m,w,"10749846,10749845,10749786,10749787,10749788","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-HG-22-026,RFA-HG-22-026,RFA-HG-22-026,RFA-HG-22-026,RFA-HG-22-026"
