APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_distilbert_r_wi,APPVAL_RECS_distilbert_r_wi,FOA_RECS_distilbert_r_wi
8962105,m,b,"9509503,9335971,9313927,9089463,9090775","562500.0,562500.0,562500.0,589500.0,589500.0","RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001"
7885660,m,w,"8925858,8336923,8531341,8541847,9338933","665000.0,685000.0,675000.0,675000.0,655000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8499174,8689016,8153835,8513990,8331617","1080000.0,1064000.0,1120000.0,1080000.0,1096000.0","RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002"
9421907,f,w,"9264661,9264682,9264670,9264681,9698245","458500.0,458500.0,458500.0,458500.0,307500.0","RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-15-008"
10017961,m,w,"8436052,8436004,8686992,8141235,7932712","6850000.000000001,6850000.000000001,6750000.0,700000.0,720000.0","RFA-DK-11-019,RFA-DK-11-019,RFA-DK-11-019,RFA-DK-09-004,RFA-DK-09-004"
9682510,f,w,"10759550,10760002,10759735,10784019,10592780","284038.98,284038.98,284038.98,256470.0,802500.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-22-025,RFA-TR-22-012"
8932663,m,w,"10704716,10526304,10708066,10704715,10704714","1030000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040"
8810682,m,w,"8890332,9001897,9208091,9206455,9610626","532000.0,524000.0,500000.0,500000.0,500000.0","RFA-AI-13-059,RFA-AI-13-059,RFA-AI-13-059,RFA-AI-13-059,RFA-AI-13-059"
10686340,m,w,"8907088,9781390,9536929,9557576,9550915","1662500.0,1537500.0,1562500.0,1562500.0,1562500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"9247181,9670111,9044774,9044776,9044778","116680.0,114813.12,122280.64,122280.64,122280.64","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"8440519,8662614,8014448,8014433,8014434","1400000.0,1330000.0,1440000.0,1440000.0,1440000.0","RFA-AG-10-002,RFA-AG-10-002,RFA-AG-10-002,RFA-AG-10-002,RFA-AG-10-002"
8060626,m,w,"9857598,10114279,9741953,9468368,9272886","430500.0,406000.0,430500.0,1562500.0,1562500.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-13-004,RFA-DK-13-004"
9896674,f,a,"8729008,8719172,8473018,8472725,8900335","266000.0,266000.0,270000.0,270000.0,266000.0","RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001"
10424380,m,a,"9843619,8977968,8977967,8977737,8978019","2214000.0,2358000.0,2358000.0,2358000.0,2358000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"8695291,8158771,8532644,8475561,8479319","532000.0,560000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8033151,7608737,7613471,7608714,7612084","252000.0,262800.0,262800.0,262800.0,262800.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"7780278,10334632,10592259,10332199,10456523","1086240.0,535000.0,515000.0,535000.0,580000.0","RFA-HG-06-008,RFA-OD-19-027,RFA-OD-19-027,RFA-OD-19-027,RFA-OD-19-027"
9960850,m,w,"9085186,8720663,8878151,9282395,9272297","262000.0,266000.0,266000.0,250000.0,250000.0","RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007"
8119772,m,w,"10692678,10512719,7643343,8099486,7989838","463500.0,481500.0,511000.0,490000.0,504000.0","RFA-DK-21-014,RFA-DK-21-014,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010"
9998967,m,w,"9246760,9516960,10316999,9394797,9246899","62500.0,62500.0,53500.0,62500.0,62500.0","RFA-RM-15-011,RFA-RM-15-011,RFA-RM-15-011,RFA-RM-15-011,RFA-RM-15-011"
9935976,f,w,"8551682,8813609,9211357,8431983,9010966","664998.67,664998.67,624998.75,674998.65,654998.6900000001","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"8921201,8814714,8815597,8815574,8814095","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-RM-14-001,RFA-RM-14-001,RFA-RM-14-001,RFA-RM-14-001,RFA-RM-14-001"
10518914,m,w,"10686278,10006889,10686120,10250326,9824374","643750.0,768750.0,643750.0,725000.0,768750.0","RFA-CA-18-029,RFA-CA-18-029,RFA-CA-18-029,RFA-CA-18-029,RFA-CA-18-029"
10770832,f,w,"8876643,8722121,9839929,10217466,9839927","266000.0,266000.0,1968000.0,1968000.0,1968000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-19-003,RFA-CA-19-003,RFA-CA-19-003"
8380026,m,w,"9994921,9354483,9353767,9352820,9353792","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"8111777,8111776,7898851,7673366,7913907","5356800.0,5356800.0,5431200.0,5431200.0,5431200.0","RFA-DK-06-503,RFA-DK-06-503,RFA-DK-06-503,RFA-DK-06-503,RFA-DK-06-503"
8339880,m,w,"10274937,10277070,10663385,10697357,10840200","580000.0,580000.0,515000.0,515000.0,515000.0","RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011"
9592088,m,a,"9771449,9143744,9771457,9563976,9553831","553500.0,589500.0,553500.0,562500.0,562500.0","RFA-DK-14-011,RFA-DK-14-011,RFA-DK-14-011,RFA-DK-14-011,RFA-DK-14-011"
10008967,m,w,"8133364,8032667,8032767,8032774,8032800","1400000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027,RFA-HD-09-027"
10134972,f,w,"8536362,8340090,8340858,8340889,8340598","270000.0,274000.0,274000.0,274000.0,274000.0","RFA-HD-12-204,RFA-HD-12-204,RFA-HD-12-204,RFA-HD-12-204,RFA-HD-12-204"
8988958,f,b,"10552007,10159288,10294955,10320948,10394335","257500.0,290000.0,267500.0,267500.0,267500.0","RFA-ES-18-009,RFA-ES-18-009,RFA-ES-18-009,RFA-ES-18-009,RFA-ES-18-009"
8535751,m,w,"9562053,9188204,9987622,9189072,9535290","62500.0,65500.0,61500.0,65500.0,62500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"8269016,8360173,8359576,8359578,8359581","274000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
8769602,m,a,"10413034,9597601,9753104,10165449,9927973","749000.0,875000.0,861000.0,812000.0,861000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"8823045,8823040,8650816,9062417,9060917","498750.0,498750.0,498750.0,491250.0,491250.0","RFA-DA-13-001,RFA-DA-13-001,RFA-DA-13-001,RFA-DA-13-001,RFA-DA-13-001"
9987453,f,w,"9753104,10413034,9927973,10165449,9597601","861000.0,749000.0,861000.0,812000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9525273,m,w,"9020204,9011505,9214310,9222699,9437652","196500.0,196500.0,187500.0,187500.0,187500.0","RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006"
10541697,m,h,"7643794,7682983,7931241,9119111,9137753","292000.0,292000.0,292000.0,327500.0,327500.0","RFA-MH-08-060,RFA-MH-08-060,RFA-MH-08-060,RFA-NS-13-007,RFA-NS-13-007"
8856535,m,w,"9213339,8509163,9000120,8617223,8794412","937500.0,1012500.0,982500.0,997500.0,997500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
7886873,m,w,"10063744,10684625,10667635,10667608,10667409","387450.0,324450.0,324450.0,324450.0,324450.0","RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013"
10488630,f,a,"10031380,10037760,10037854,10037968,9787108","613770.0,613770.0,613770.0,613770.0,4059000.0","RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-AG-18-021"
9137625,f,w,"9129526,8461747,8914415,8914418,8914423","196500.0,205500.00000000003,199500.0,199500.0,199500.0","RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008"
8085924,m,w,"9193112,9309081,10424447,10601101,10212773","524000.0,500000.0,1070000.0,1030000.0,1160000.0","RFA-MD-15-011,RFA-MD-15-011,RFA-HG-20-001,RFA-HG-20-001,RFA-HG-20-001"
9485284,m,w,"8310258,8290541,8020799,8020664,8150462","479500.00000000006,479500.00000000006,504000.0,504000.0,490000.0","RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020,RFA-RM-09-020"
8070326,m,w,"8298736,8026868,7680023,7664978,7651178","420000.0,420000.0,438000.0,438000.0,438000.0","RFA-AI-06-041,RFA-AI-06-041,RFA-AI-06-041,RFA-AI-06-041,RFA-AI-06-041"
8068031,f,w,"9969097,9768054,9571042,9571044,9570696","1168500.0,1187500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9961343,m,w,"9114721,9108017,8897165,8897162,8907770","399000.0,399000.0,399000.0,399000.0,399000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"7684003,7686060,7682324,7847346,7935616","175200.0,175200.0,175200.0,175200.0,175200.0","RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013,RFA-CA-06-013"
9150566,m,w,"9960555,9097289,10450248,9307857,9730475","738000.0,786000.0,696000.0,750000.0,738000.0","RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002,RFA-ES-15-002"
10478136,m,w,"10485231,10310901,10310739,10700141,10700075","267500.0,290000.0,290000.0,257500.0,257500.0","RFA-DK-20-003,RFA-DK-20-003,RFA-DK-20-003,RFA-DK-20-003,RFA-DK-20-003"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","772500.0,772500.0,772500.0,802500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"9785781,9753823,9753821,9753815,9753813","1353000.0,1353000.0,1353000.0,1353000.0,1353000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
10744343,f,a,"8845185,8722068,8828160,8722290,8722152","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006"
