APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_electra_o_wi,APPVAL_RECS_electra_o_wi,FOA_RECS_electra_o_wi
8962105,m,b,"8975055,9126612,9203174,9203497,9203398","665000.0,655000.0,1310000.0,1310000.0,1310000.0","RFA-MH-15-850,RFA-MH-15-850,RFA-MH-16-725,RFA-MH-16-725,RFA-MH-16-725"
7885660,m,w,"8334396,8705695,8327084,7780924,7783230","1370000.0,1350000.0,1370000.0,1460000.0,1460000.0","RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023"
8722014,f,w,"10220134,10368699,10037769,10493359,9838250","232000.0,232000.0,246000.0,214000.0,369000.0","RFA-OD-19-021,RFA-OD-19-021,RFA-OD-19-021,RFA-OD-19-021,RFA-HL-17-008"
9421907,f,w,"10083763,9657194,10335171,9843530,10901041","464000.0,492000.0,428000.0,492000.0,309000.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-AG-23-013"
10017961,m,w,"9832007,9831921,10228685,10465020,10018031","492000.0,492000.0,464000.0,412000.0,492000.0","RFA-DK-18-002,RFA-DK-18-002,RFA-DK-18-002,RFA-DK-18-002,RFA-DK-18-002"
9682510,f,w,"9321925,9931288,9682510,9321304,9321305","312500.0,307500.0,307500.0,312500.0,312500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"9035747,9458148,9260763,9277432,9094237","393000.0,375000.0,375000.0,250000.0,262000.0","RFA-CA-15-005,RFA-CA-15-005,RFA-CA-15-005,RFA-CA-15-004,RFA-CA-15-004"
8810682,m,w,"8060370,8060298,8060185,8053191,8053213","1080000.0,1080000.0,1080000.0,2399040.0,2399040.0","RFA-HS-10-013,RFA-HS-10-013,RFA-HS-10-013,RFA-HS-10-014,RFA-HS-10-014"
10686340,m,w,"10684449,10659046,10684431,10474553,10445064","321000.0,309000.0,321000.0,321000.0,321000.0","RFA-DK-19-009,RFA-DK-19-009,RFA-DK-19-009,RFA-DK-19-009,RFA-DK-19-009"
7551990,f,h,"7631377,7614372,7878744,7812141,8231792","365000.0,365000.0,360000.0,360000.0,360000.0","RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002,RFA-AA-06-002"
9781466,m,w,"9205081,9205193,9205191,9390021,9390014","4585000.0,4375000.0,4375000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9857843,9458730,9468370,9509440,9509437","1562500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004"
9896674,f,a,"9450135,9977704,9570673,9570676,9568382","625000.0,615000.0,625000.0,625000.0,625000.0","RFA-MD-17-003,RFA-MD-17-003,RFA-MD-17-003,RFA-MD-17-003,RFA-MD-17-003"
10424380,m,a,"9544769,9332089,8919191,8919187,8919188","9375000.0,9375000.0,9975000.0,9975000.0,9975000.0","RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001"
10676778,m,w,"9773067,9393650,9565398,9565399,9565400","1230000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-DK-16-028,RFA-DK-16-028,RFA-DK-16-028,RFA-DK-16-028,RFA-DK-16-028"
7637363,m,w,"8448209,8447534,8081515,8451571,8442389","270000.0,270000.0,280000.0,270000.0,270000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"8831438,8831107,8831971,8832093,8831876","332500.0,332500.0,332500.0,332500.0,332500.0","RFA-RM-13-022,RFA-RM-13-022,RFA-RM-13-022,RFA-RM-13-022,RFA-RM-13-022"
9960850,m,w,"9657194,10083763,9843530,10335171,9389012","492000.0,464000.0,492000.0,428000.0,937500.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-NS-16-001"
