APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_electra_p_w,APPVAL_RECS_electra_p_w,FOA_RECS_electra_p_w
8962105,m,b,"8227762,8331859,8221511,8331304,8333868","700000.0,685000.0,700000.0,685000.0,685000.0","RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002"
7885660,m,w,"8055615,8055215,8067537,8055202,7922872","1440000.0,1440000.0,1440000.0,1440000.0,1460000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
8722014,f,w,"9145187,8934089,8786631,9787466,9569595","5000000.0,5320000.0,5320000.0,4920000.0,5000000.0","RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006"
9421907,f,w,"8333868,8331859,8331304,8227762,8221511","685000.0,685000.0,685000.0,700000.0,700000.0","RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002,RFA-HS-11-002"
10017961,m,w,"8786631,9787466,8934089,9569595,9145187","5320000.0,4920000.0,5320000.0,5000000.0,5000000.0","RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006"
9682510,f,w,"8144907,8144441,8317293,8144466,8144435","350000.0,350000.0,350000.0,350000.0,350000.0","RFA-FD-10-002,RFA-FD-10-002,RFA-FD-10-002,RFA-FD-10-002,RFA-FD-10-002"
8932663,m,w,"8071012,8055615,8067537,8055202,8055215","720000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-OD-10-012,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037"
8810682,m,w,"8055615,8055202,8067537,8055215,8048626","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
10686340,m,w,"8786631,8934089,9569595,9787466,9145187","5320000.0,5320000.0,5000000.0,4920000.0,5000000.0","RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006,RFA-HS-14-006"
7551990,f,h,"8055215,8055202,8055615,8067537,7586542","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
9781466,m,w,"10657489,10221262,9722497,9722468,10224320","499550.0,596550.0,596550.0,596550.0,562600.0","RFA-HL-19-014,RFA-HL-19-014,RFA-HL-19-014,RFA-HL-19-014,RFA-HL-19-014"
8060626,m,w,"8067537,8055615,8055215,8055202,7586542","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
9896674,f,a,"8144466,8496493,8289272,8289290,8289274","350000.0,337500.0,342500.0,342500.0,342500.0","RFA-FD-10-002,RFA-FD-10-002,RFA-FD-10-002,RFA-FD-10-002,RFA-FD-10-002"
10424380,m,a,"8055615,8055215,8067537,8055202,8082436","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
10676778,m,w,"10594761,10443775,9948979,10224320,10199016","257500.0,518950.00000000006,596550.0,562600.0,562600.0","RFA-HL-23-014,RFA-HL-19-014,RFA-HL-19-014,RFA-HL-19-014,RFA-HL-19-014"
7637363,m,w,"8055615,8055202,8067537,8055215,8082436","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
9269218,m,w,"8055615,8067537,8055215,8055202,7586542","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
