APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_electra_r_w,APPVAL_RECS_electra_r_w,FOA_RECS_electra_r_w
8962105,m,b,"7586542,8048626,7922872,8083495,8082436","1440000.0,1440000.0,1460000.0,1440000.0,1440000.0","RFA-AI-07-040,RFA-AI-07-040,RFA-AI-07-040,RFA-AI-07-040,RFA-AI-07-040"
7885660,m,w,"7890855,7859818,7932676,7901249,7890856","1460000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
8722014,f,w,"8528510,8528515,8520175,8520173,8533787","405000.0,405000.0,405000.0,405000.0,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
9421907,f,w,"10110060,10681249,9951915,10417361,10241274","861000.0,721000.0,861000.0,812000.0,812000.0","RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013"
10017961,m,w,"9903883,10488623,10488646,10004640,10016289","768750.0,668750.0,668750.0,768750.0,768750.0","RFA-HS-19-001,RFA-HS-19-001,RFA-HS-19-001,RFA-HS-19-001,RFA-HS-19-001"
9682510,f,w,"9282274,9484142,9544812,8827239,8874829","2187500.0,2187500.0,2187500.0,2327500.0,2327500.0","RFA-AI-13-016,RFA-AI-13-016,RFA-AI-13-016,RFA-AI-13-016,RFA-AI-13-016"
8932663,m,w,"8060185,8060298,8060370,8055215,8067537","1080000.0,1080000.0,1080000.0,1440000.0,1440000.0","RFA-HS-10-013,RFA-HS-10-013,RFA-HS-10-013,RFA-AI-07-037,RFA-AI-07-037"
8810682,m,w,"8055615,8055202,8067537,8055215,8083495","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
10686340,m,w,"9938868,10689726,10222558,10224092,10224093","670350.0,561350.0,632200.0,632200.0,632200.0","RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002"
7551990,f,h,"8336741,8180751,8181259,8180228,8181019","274000.0,280000.0,280000.0,280000.0,280000.0","RFA-RM-10-015,RFA-RM-10-015,RFA-RM-10-015,RFA-RM-10-015,RFA-RM-10-015"
