APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_electra_r_wi,APPVAL_RECS_electra_r_wi,FOA_RECS_electra_r_wi
8962105,m,b,"8010757,7890856,7901249,7932676,7859818","1440000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
7885660,m,w,"8055202,8067537,8055215,8055615,7922872","1440000.0,1440000.0,1440000.0,1440000.0,1460000.0","RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-037,RFA-AI-07-040"
8722014,f,w,"10206329,10701721,10204417,10198144,10687114","562600.0,499550.0,562600.0,562600.0,499550.0","RFA-HL-21-011,RFA-HL-21-011,RFA-HL-21-011,RFA-HL-21-011,RFA-HL-21-011"
9421907,f,w,"8289643,8110298,8083260,8091953,8083173","411000.00000000006,432000.0,432000.0,432000.0,432000.0","RFA-AI-09-026,RFA-AI-09-026,RFA-AI-09-026,RFA-AI-09-026,RFA-AI-09-026"
10017961,m,w,"7890856,7901249,8010757,7890855,7932676","1460000.0,1460000.0,1440000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
9682510,f,w,"10266378,10393600,9933610,10164866,10649426","297632.8,321000.0,369000.0,348000.0,309000.0","RFA-OD-20-021,RFA-OD-19-011,RFA-OD-19-011,RFA-OD-19-011,RFA-OD-19-011"
8932663,m,w,"7932676,7870089,7890856,7901249,7859818","1460000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
8810682,m,w,"9145739,9145709,8936340,8936260,10831117","524000.0,524000.0,532000.0,532000.0,515000.0","RFA-EB-14-002,RFA-EB-14-002,RFA-EB-14-002,RFA-EB-14-002,RFA-MH-20-110"
10686340,m,w,"9356597,9356598,9551139,9273238,9275097","1250000.0,1250000.0,1250000.0,1310000.0,1310000.0","RFA-TR-16-006,RFA-TR-16-006,RFA-TR-16-006,RFA-TR-16-006,RFA-TR-16-006"
7551990,f,h,"8150033,7948399,8865396,8289472,8904897","720000.0,720000.0,665000.0,685000.0,665000.0","RFA-HL-10-005,RFA-HL-10-005,RFA-HL-10-005,RFA-HL-10-005,RFA-HL-10-005"
9781466,m,w,"8442911,8251938,8081491,8081515,8451571","270000.0,274000.0,280000.0,280000.0,270000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
8060626,m,w,"7884259,7871516,7640611,7658863,7626004","432000.0,432000.0,438000.0,438000.0,438000.0","RFA-HG-05-002,RFA-HG-05-002,RFA-HG-05-002,RFA-HG-05-002,RFA-HG-05-002"
9896674,f,a,"10663347,10454679,10684290,10684282,10684274","824000.0,856000.0,824000.0,824000.0,824000.0","RFA-CA-21-029,RFA-CA-21-029,RFA-CA-21-029,RFA-CA-21-029,RFA-CA-21-029"
10424380,m,a,"8279210,8653242,7618407,8063858,8262528","685000.0,675000.0,730000.0,700000.0,700000.0","RFA-HD-07-019,RFA-HD-07-019,RFA-HD-07-019,RFA-HD-07-019,RFA-HD-07-019"
10676778,m,w,"7674494,7882568,9564255,9281823,9904629","584000.0,576000.0,1250000.0,1250000.0,1230000.0","RFA-HS-07-008,RFA-HS-07-008,RFA-ES-15-007,RFA-ES-15-007,RFA-ES-15-007"
7637363,m,w,"9273238,9275097,9356597,9356598,9551139","1310000.0,1310000.0,1250000.0,1250000.0,1250000.0","RFA-TR-16-006,RFA-TR-16-006,RFA-TR-16-006,RFA-TR-16-006,RFA-TR-16-006"
9269218,m,w,"8476301,7989182,8516980,8105104,8074033","1370000.0,1440000.0,1350000.0,1400000.0,1400000.0","RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029"
9960850,m,w,"7890856,8010757,7901249,7932676,7859818","1460000.0,1440000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
8119772,m,w,"7626749,8114133,7658237,7624252,7643343","511000.0,490000.0,511000.0,511000.0,511000.0","RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010"
