APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_roberta_o_w,APPVAL_RECS_roberta_o_w,FOA_RECS_roberta_o_w
8962105,m,b,"9323560,9144844,9145766,8997188,8997390","312500.0,327500.0,327500.0,332500.0,332500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"10580910,8721480,8793915,8925858,8536036","515000.0,665000.0,665000.0,665000.0,685000.0","RFA-DK-21-025,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8701389,8704199,9081240,8441279,8862525","863170.0,863170.0,850190.0,876150.0,863170.0","RFA-HL-13-007,RFA-HL-13-007,RFA-HL-13-007,RFA-HL-13-007,RFA-HL-13-007"
9421907,f,w,"10650877,10641819,10430544,10430514,7907198","309000.0,309000.0,321000.0,321000.0,438000.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-06-003"
10017961,m,w,"10363505,10361741,10488757,10645854,10746147","64959.99999999999,64959.99999999999,59920.0,59920.0,58413.36","RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-21-033"
9682510,f,w,"9483789,9333444,9484766,9329493,9329496","437500.0,437500.0,437500.0,437500.0,437500.0","RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"7692869,7908083,7790611,7618024,7918510","1095000.0,365000.0,360000.0,365000.0,365000.0","RFA-CA-07-041,RFA-CA-07-034,RFA-CA-07-034,RFA-CA-07-034,RFA-CA-07-034"
8810682,m,w,"8742969,9293244,8744488,8744535,8744586","665000.0,625000.0,665000.0,665000.0,665000.0","RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003,RFA-HS-14-003"
10686340,m,w,"9114137,9145794,9114674,9115048,9114136","1637500.0,1637500.0,1637500.0,1637500.0,1637500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"9670111,9669066,9044778,9247185,9247181","114813.12,114813.12,122280.64,116680.0,116680.0","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9781466,m,w,"9318386,9483594,9526398,9526399,9462861","1250000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002"
8060626,m,w,"10407754,10622622,10622628,10622630,10622635","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9693082,9484593,9693086,9693087,9693088","1168500.0,1187500.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"10526836,10526898,10526897,10526266,10526265","1287500.0,1287500.0,1287500.0,1287500.0,1287500.0","RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006"
10676778,m,w,"9718900,10183170,10626809,10626813,10642789","615000.0,580000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
