APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_roberta_r_wi,APPVAL_RECS_roberta_r_wi,FOA_RECS_roberta_r_wi
8962105,m,b,"8119711,7691775,7842150,7691781,8109213","700000.0,730000.0,730000.0,730000.0,700000.0","RFA-HL-08-006,RFA-HL-08-006,RFA-HL-08-006,RFA-HL-08-006,RFA-HL-08-006"
7885660,m,w,"8336923,8793915,8732625,8247968,9338933","685000.0,665000.0,665000.0,700000.0,655000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9831503,10219251,10017222,10744469,10744468","246000.0,232000.0,246000.0,14420000.0,14420000.0","RFA-AG-19-023,RFA-AG-19-023,RFA-AG-19-023,RFA-OD-22-021,RFA-OD-22-021"
9421907,f,w,"10263239,10045725,10441514,9264682,9264670","261000.0,276750.0,240750.0,458500.0,458500.0","RFA-AG-20-007,RFA-AG-20-007,RFA-AG-20-007,RFA-AG-16-005,RFA-AG-16-005"
10017961,m,w,"8974925,8971447,9637861,10159887,9774044","3325000.0,3325000.0,625000.0,535000.0,615000.0","RFA-DK-14-015,RFA-DK-14-015,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10759550,10759735,10760002,10784407,10783393","284038.98,284038.98,284038.98,256470.0,256470.0","RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-22-022,RFA-NS-22-022"
8932663,m,w,"10263230,10054621,10473714,10264893,10473758","812000.0,861000.0,749000.0,812000.0,749000.0","RFA-RM-19-009,RFA-RM-19-009,RFA-RM-19-009,RFA-RM-19-009,RFA-RM-19-009"
8810682,m,w,"10241239,9965878,9411341,9743795,9544151","429200.0,455100.0,462500.0,455100.0,462500.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"8293065,8514674,8093732,8706937,8889285","7980250.000000001,7863750.000000001,8154999.999999999,7747250.0,7747250.0","RFA-HL-11-006,RFA-HL-11-006,RFA-HL-11-006,RFA-HL-11-006,RFA-HL-11-006"
7551990,f,h,"10355532,10210397,10355531,10381734,9948263","802500.0,869999.9999999999,802500.0,802500.0,922500.0","RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007,RFA-ES-19-007"
