APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_scibert_p_wi,APPVAL_RECS_scibert_p_wi,FOA_RECS_scibert_p_wi
8962105,m,b,"8961416,9172674,9174325,9103741,9121688","99750.0,98250.0,98250.0,98250.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
7885660,m,w,"8890180,8247968,8732625,8721480,8793915","665000.0,700000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8604915,9022512,9245732,8825531,9319816","3192000.0,3144000.0,3000000.0,3192000.0,3000000.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-MH-16-600"
9421907,f,w,"9697743,9143829,9145617,9145624,9276547","307500.0,332500.0,327500.0,327500.0,312500.0","RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008,RFA-AG-15-008"
10017961,m,w,"10492604,10680567,10490327,10490425,10490441","535000.0,515000.0,535000.0,535000.0,535000.0","RFA-DK-20-024,RFA-DK-20-024,RFA-DK-20-024,RFA-DK-20-024,RFA-DK-20-024"
9682510,f,w,"10378786,10665746,10491953,10784019,10760002","667000.0,592250.0,615250.0,256470.0,284038.98","RFA-DA-21-029,RFA-DA-21-029,RFA-DA-21-029,RFA-NS-22-025,RFA-NS-23-006"
8932663,m,w,"8467802,8690240,7884497,8100298,7664619","2397500.0,2362500.0,2520000.0,2450000.0,2555000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"10532596,9965878,9544151,10241239,9411341","1070000.0,455100.0,462500.0,429200.0,462500.0","RFA-FD-22-003,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"10559603,8150047,7943167,7938718,8144938","309000.0,1800000.0,1825000.0,1800000.0,1800000.0","RFA-TR-21-008,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
7551990,f,h,"9182895,8814559,9591339,9591760,9593474","593750.0,631750.0,584250.0,584250.0,584250.0","RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014"
9781466,m,w,"9781464,9390021,9562020,9562023,9548539","4305000.0,4375000.0,4375000.0,4375000.0,4375000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9174087,9857842,9509442,9468370,9509440","1637500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004"
9896674,f,a,"9707610,9509533,9506106,9604712,9615840","430500.0,437500.0,437500.0,430500.0,430500.0","RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010,RFA-MD-15-010"
10424380,m,a,"10424375,10056023,10397509,10397511,10056543","1230500.0,1334000.0,1230500.0,1230500.0,1334000.0","RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001,RFA-AA-20-001"
10676778,m,w,"10124295,9941050,9720733,9720734,10612115","580000.0,615000.0,615000.0,615000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"7638663,7794928,8011175,8020043,8005491","262800.0,259200.0,252000.0,252000.0,252000.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"7741997,8091224,8294690,8323482,8090908","365000.0,350000.0,342500.0,342500.0,360000.0","RFA-GM-09-007,RFA-GM-09-007,RFA-GM-09-007,RFA-GM-09-007,RFA-GM-09-007"
9960850,m,w,"9844531,10468080,9858268,9872123,9878744","3936000.0,3424000.0,3936000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"8122386,7739537,8136058,8304914,8305556","350000.0,365000.0,342500.0,342500.0,342500.0","RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004,RFA-HD-08-004"
9998967,m,w,"9700449,9514001,9514002,9514000,9514003","14145000.0,14375000.0,14375000.0,14375000.0,14375000.0","RFA-AI-15-009,RFA-AI-15-009,RFA-AI-15-009,RFA-AI-15-009,RFA-AI-15-009"
9935976,f,w,"9623982,9747383,9935976,8604913,8733202","281250.0,276750.0,276750.0,270000.0,266000.0","RFA-MH-18-605,RFA-MH-18-605,RFA-MH-18-605,RFA-MH-13-091,RFA-MH-13-091"
9539516,m,w,"7892255,7938333,7926326,7934822,8360477","438000.0,438000.0,438000.0,438000.0,280000.0","RFA-RM-08-014,RFA-RM-08-014,RFA-RM-08-014,RFA-RM-08-014,RFA-RR-06-002"
10518914,m,w,"10178968,10173994,10300626,10304516,10173111","232000.0,232000.0,232000.0,232000.0,232000.0","RFA-CA-20-005,RFA-CA-20-005,RFA-CA-20-005,RFA-CA-20-005,RFA-CA-20-005"
10770832,f,w,"8446031,8443710,8537894,8539592,8722121","274000.0,274000.0,270000.0,270000.0,266000.0","RFA-DE-12-012,RFA-DE-12-012,RFA-DE-12-012,RFA-DE-12-012,RFA-DE-14-002"
8380026,m,w,"8436395,8545842,9136088,8734406,8926397","68500.0,67500.0,65500.0,66500.0,66500.0","RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028,RFA-DK-11-028"
10592409,f,w,"7684270,7683307,8131789,8143344,7932292","73000.0,73000.0,70000.0,70000.0,72000.0","RFA-AI-06-033,RFA-AI-06-033,RFA-AI-06-033,RFA-AI-06-033,RFA-AI-06-033"
8339880,m,w,"10198684,10198686,10198688,10198689,10201462","957000.0,957000.0,957000.0,957000.0,957000.0","RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007"
9592088,m,a,"9183807,9339683,10451808,10296363,10670199","294750.0,281250.0,535000.0,580000.0,515000.0","RFA-DK-15-009,RFA-DK-15-009,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011"
10008967,m,w,"10652507,10442634,10473541,10473540,10473538","1030000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031"
10134972,f,w,"10016175,10015353,10016830,10693212,10704492","430500.0,430500.0,430500.0,360500.0,360500.0","RFA-AT-19-001,RFA-AT-19-001,RFA-AT-19-001,RFA-AT-19-001,RFA-AT-19-001"
8988958,f,b,"8118295,7900933,8118296,8462327,8462328","1440000.0,1460000.0,1440000.0,1370000.0,1370000.0","RFA-ES-05-004,RFA-ES-05-004,RFA-ES-05-004,RFA-ES-05-004,RFA-ES-05-004"
