APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_spanbert_o_w,APPVAL_RECS_spanbert_o_w,FOA_RECS_spanbert_o_w
8962105,m,b,"9144844,9145766,9323560,9565173,9319794","327500.0,327500.0,312500.0,312500.0,312500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"7684826,7861203,7991555,7685279,7686755","511000.0,511000.0,504000.0,511000.0,511000.0","RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014"
8722014,f,w,"8340858,8340889,8525420,8551670,8534816","274000.0,274000.0,270000.0,270000.0,270000.0","RFA-HD-12-204,RFA-HD-12-204,RFA-HD-12-204,RFA-HD-12-204,RFA-HD-12-204"
9421907,f,w,"7907198,7628465,7898576,7906847,7914129","438000.0,438000.0,432000.0,432000.0,432000.0","RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003,RFA-AG-06-003"
10017961,m,w,"10361741,10363505,10488757,10645854,10746147","64959.99999999999,64959.99999999999,59920.0,59920.0,58413.36","RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-19-032,RFA-DK-21-033"
9682510,f,w,"9686784,9188331,9931275,9931288,9931291","307500.0,327500.0,307500.0,307500.0,307500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"7638021,7940064,8264290,10393060,10250764","146000.0,146000.0,146000.0,4280000.0,4640000.0","RFA-CA-06-006,RFA-CA-06-006,RFA-CA-06-006,RFA-CA-20-033,RFA-CA-20-033"
8810682,m,w,"9407285,9174603,9252387,9637288,7691757","625000.0,655000.0,625000.0,615000.0,438000.0","RFA-HS-15-003,RFA-HS-15-003,RFA-HS-15-003,RFA-HS-15-003,RFA-HS-08-004"
10686340,m,w,"9325428,9342656,9308697,9342657,8919977","1562500.0,1562500.0,1562500.0,1562500.0,1662500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"8197870,7555392,7551990,7847078,7847079","75350.0,80300.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
