APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_spanbert_r_wi,APPVAL_RECS_spanbert_r_wi,FOA_RECS_spanbert_r_wi
8962105,m,b,"9145766,9323560,9565173,9319794,8997390","327500.0,312500.0,312500.0,312500.0,332500.0","RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024,RFA-HL-15-024"
7885660,m,w,"8336923,9123843,8732625,8721480,8793915","685000.0,665000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10744469,10744467,10744468,10261555,9766775","14420000.0,14420000.0,14420000.0,10904000.0,11750000.0","RFA-OD-22-021,RFA-OD-22-021,RFA-OD-22-021,RFA-OD-16-006,RFA-OD-16-006"
9421907,f,w,"9928385,9421907,9695908,9565384,10665574","430500.0,437500.0,430500.0,437500.0,824000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-20-020"
10017961,m,w,"9636928,9939013,10159887,10457348,10469691","625000.0,615000.0,535000.0,535000.0,535000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10784019,10536567,10537743,10759735,10760002","256470.0,1070000.0,1070000.0,284038.98,284038.98","RFA-NS-22-025,RFA-NS-22-002,RFA-NS-22-002,RFA-NS-23-006,RFA-NS-23-006"
8932663,m,w,"10515451,10526303,10704713,10704708,10676882","1070000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040,RFA-CA-21-040"
8810682,m,w,"8495858,8447524,8495875,8445243,8445242","675000.0,675000.0,675000.0,675000.0,675000.0","RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025,RFA-AI-09-025"
10686340,m,w,"8890307,9308034,9335254,9338322,9342654","1662500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"8812516,8991919,9616530,9378106,9379856","631750.0,622250.0,593750.0,593750.0,593750.0","RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014,RFA-ES-13-014"
9781466,m,w,"8065951,8051716,8238317,8377721,7817089","1440000.0,1440000.0,1370000.0,1370000.0,1440000.0","RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001,RFA-AG-09-001"
8060626,m,w,"10646153,10209359,10609095,10609100,10609103","1030000.0,1230000.0,1030000.0,1030000.0,1030000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"9146144,9146203,9665272,9665273,9675124","1965000.0,1965000.0,1845000.0,1845000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"10526266,10526553,10526901,10526900,10526899","1287500.0,1287500.0,1287500.0,1287500.0,1287500.0","RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006,RFA-AA-21-006"
10676778,m,w,"10626809,10460469,10124292,10124290,10642790","515000.0,535000.0,580000.0,580000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"7608737,7798157,7798554,8011168,8033151","262800.0,259200.0,259200.0,252000.0,252000.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"10457930,9788549,9789389,9675057,9678024","535000.0,615000.0,615000.0,625000.0,625000.0","RFA-RM-18-013,RFA-RM-18-013,RFA-RM-18-013,RFA-RM-18-013,RFA-RM-18-013"
9960850,m,w,"10543729,10078842,10574601,10553643,10551296","3296000.0,3424000.0,3296000.0,3296000.0,3296000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"8599512,7647008,7644815,7646647,7646064","945000.0,1022000.0,1022000.0,1022000.0,1022000.0","RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012"
9998967,m,w,"8990015,8990494,8605657,8603715,8605291","327500.0,327500.0,332500.0,332500.0,332500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9935976,f,w,"10709605,10599564,10709610,10709608,10709606","6437500.0,6687500.0,6437500.0,6437500.0,6437500.0","RFA-HD-23-021,RFA-HD-23-021,RFA-HD-23-021,RFA-HD-23-021,RFA-HD-23-021"
9539516,m,w,"7918624,7658891,7645044,7650131,7681687","730000.0,730000.0,730000.0,730000.0,730000.0","RFA-ES-05-007,RFA-ES-05-007,RFA-ES-05-007,RFA-ES-05-007,RFA-ES-05-007"
10518914,m,w,"9925075,9692269,9736295,9736277,9694196","1845000.0,1845000.0,1845000.0,1845000.0,1845000.0","RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014,RFA-CA-15-014"
10770832,f,w,"8876643,8722121,10487345,10677827,10483359","266000.0,266000.0,775750.0,746750.0,775750.0","RFA-DE-14-002,RFA-DE-14-002,RFA-CA-21-035,RFA-CA-21-035,RFA-CA-21-035"
8380026,m,w,"9994920,9344609,9353763,9353793,9354450","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"10599204,10435216,10435042,10435039,10435038","1030000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-AI-20-078,RFA-AI-20-078,RFA-AI-20-078,RFA-AI-20-078,RFA-AI-20-078"
8339880,m,w,"8319400,8892951,8321997,8509566,8526339","342500.0,332500.0,342500.0,337500.0,337500.0","RFA-AG-11-006,RFA-AG-11-006,RFA-AG-11-006,RFA-AG-11-006,RFA-AG-11-006"
9592088,m,a,"10296363,10670199,10451808,8335390,8545171","580000.0,515000.0,535000.0,616500.0,607500.0","RFA-DK-20-011,RFA-DK-20-011,RFA-DK-20-011,RFA-DK-10-011,RFA-DK-10-011"
10008967,m,w,"8381151,7920967,7920969,7920970,8333446","1370000.0,1460000.0,1460000.0,1460000.0,1370000.0","RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002"
10134972,f,w,"9982445,9692798,10152382,10093134,9468430","615000.0,615000.0,535000.0,580000.0,625000.0","RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300"
8988958,f,b,"9318535,8989736,9752310,9518904,9537514","1562500.0,1662500.0,1562500.0,1562500.0,1562500.0","RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
8535751,m,w,"10450885,9831543,10655524,10205060,9966987","53500.0,61500.0,51500.0,57999.99999999999,61500.0","RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026"
7959773,f,w,"9352457,9236973,9689121,10225406,9689710","28820000.0,28820000.0,1375000.0,1276000.0,1375000.0","RFA-DK-15-506,RFA-DK-15-506,RFA-DK-17-511,RFA-DK-17-511,RFA-DK-17-511"
8769602,m,a,"9927973,10165449,10413034,9753104,9597601","861000.0,812000.0,749000.0,861000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"10465110,10398242,10394383,10236905,10233273","214000.0,214000.0,214000.0,232000.0,232000.0","RFA-DA-21-002,RFA-DA-21-002,RFA-DA-21-002,RFA-DA-21-002,RFA-DA-21-002"
9987453,f,w,"9597601,9753104,10165449,9927973,10413034","875000.0,861000.0,812000.0,861000.0,749000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9525273,m,w,"7919722,7623056,7591140,7689165,7619103","292000.0,292000.0,292000.0,292000.0,292000.0","RFA-AI-07-015,RFA-AI-07-015,RFA-AI-07-015,RFA-AI-07-015,RFA-AI-07-015"
10541697,m,h,"7931241,7643794,7682983,7676017,7906058","292000.0,292000.0,292000.0,219000.0,216000.0","RFA-MH-08-060,RFA-MH-08-060,RFA-MH-08-060,RFA-DA-06-010,RFA-DA-06-010"
8856535,m,w,"9523269,9989771,10057930,10057932,10057933","1250000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
