APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_xlm-roberta_p_w,APPVAL_RECS_xlm-roberta_p_w,FOA_RECS_xlm-roberta_p_w
8962105,m,b,"10335171,9843530,10083763,9657194,10592699","428000.0,492000.0,464000.0,492000.0,754637.74","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-23-006"
7885660,m,w,"9123843,8531341,8732625,8721480,8793915","665000.0,675000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8765093,8769839,8770165,8768673,8769410","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-ES-13-011,RFA-ES-13-011,RFA-ES-13-011,RFA-ES-13-011,RFA-ES-13-011"
9421907,f,w,"9264682,9264670,9264681,9264661,8851498","458500.0,458500.0,458500.0,458500.0,266000.0","RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-13-007"
10017961,m,w,"10708816,10706514,10518967,10519808,9627114","515000.0,515000.0,535000.0,535000.0,625000.0","RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-17-011"
9682510,f,w,"10536567,10537743,10598724,10597790,10598312","1070000.0,1070000.0,214000.0,214000.0,214000.0","RFA-NS-22-002,RFA-NS-22-002,RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011"
8932663,m,w,"8382209,7935235,8727716,7911713,7911712","1781000.0000000002,1898000.0,1755000.0,1898000.0,1898000.0","RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002,RFA-CA-08-002"
8810682,m,w,"8819920,8816766,9613771,9220717,9221246","665000.0,655000.0,615000.0,625000.0,625000.0","RFA-AI-14-001,RFA-AI-14-001,RFA-AI-14-001,RFA-AI-14-001,RFA-AI-14-001"
10686340,m,w,"10057082,10647827,10458402,10458158,10458160","615000.0,1030000.0,1070000.0,1070000.0,1070000.0","RFA-NS-20-005,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004,RFA-HD-22-004"
7551990,f,h,"7991380,7992457,8197900,8197474,8197875","77000.0,77000.0,75350.0,75350.0,75350.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"9739064,9734842,9891933,9899912,9902298","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003,RFA-AG-19-003"
8060626,m,w,"9741953,9857598,10114279,8044994,8043877","430500.0,430500.0,406000.0,576000.0,576000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-OD-10-010,RFA-OD-10-010"
9896674,f,a,"9896673,9260051,9356869,9260053,9260055","1845000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"10711018,10712618,10711811,10711001,10712556","360500.0,360500.0,360500.0,360500.0,360500.0","RFA-AA-22-003,RFA-AA-22-003,RFA-AA-22-003,RFA-AA-22-003,RFA-AA-22-003"
10676778,m,w,"8158771,8475561,8695290,8681149,8681153","560000.0,540000.0,532000.0,532000.0,532000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
