APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_xlm-roberta_r_wi,APPVAL_RECS_xlm-roberta_r_wi,FOA_RECS_xlm-roberta_r_wi
8962105,m,b,"10335171,9843530,10083763,9657194,7651101","428000.0,492000.0,464000.0,492000.0,365000.0","RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-HL-19-012,RFA-AG-05-011"
7885660,m,w,"8247968,8732625,8531341,8793915,8732790","700000.0,665000.0,675000.0,665000.0,675000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9677083,10140352,9942444,9942445,9942446","1230000.0,1160000.0,1230000.0,1230000.0,1230000.0","RFA-ES-17-003,RFA-ES-17-003,RFA-ES-17-003,RFA-ES-17-003,RFA-ES-17-003"
9421907,f,w,"9890656,10263239,10045725,10441514,8996081","922500.0,261000.0,276750.0,240750.0,399000.0","RFA-AG-19-025,RFA-AG-20-007,RFA-AG-20-007,RFA-AG-20-007,RFA-AG-15-004"
10017961,m,w,"9459450,9459535,9637861,9979867,9627114","437500.0,437500.0,625000.0,615000.0,625000.0","RFA-DK-17-004,RFA-DK-17-004,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
9682510,f,w,"10537743,10536567,9860426,9976825,9828246","1070000.0,1070000.0,184500.0,246000.0,246000.0","RFA-NS-22-002,RFA-NS-22-002,RFA-NS-19-025,RFA-NS-18-042,RFA-NS-18-042"
8932663,m,w,"8065747,7695547,7692251,10676852,10676858","1080000.0,1095000.0,1095000.0,1030000.0,1030000.0","RFA-CA-08-003,RFA-CA-08-003,RFA-CA-08-003,RFA-CA-21-040,RFA-CA-21-040"
8810682,m,w,"9965878,10241239,9411341,9743795,9544151","455100.0,429200.0,462500.0,455100.0,462500.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"7904295,7884362,7877933,7882597,7939165","1152000.0,1168000.0,1168000.0,1168000.0,1168000.0","RFA-DK-07-503,RFA-DK-07-503,RFA-DK-07-503,RFA-DK-07-503,RFA-DK-07-503"
7551990,f,h,"7551983,7991380,8197472,8197873,8197878","80300.0,77000.0,75350.0,75350.0,75350.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"8849693,8849787,10003929,9562020,9562023","266000.0,266000.0,4305000.0,4375000.0,4375000.0","RFA-AG-14-017,RFA-AG-14-017,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"8971447,8974925,8435054,8429592,8022872","3325000.0,3325000.0,411000.00000000006,1712500.0000000002,1750000.0","RFA-DK-14-015,RFA-DK-14-015,RFA-DK-11-031,RFA-DK-06-014,RFA-DK-06-014"
9896674,f,a,"8392147,8073856,8075931,8074269,8149893","337500.0,360000.0,360000.0,350000.0,350000.0","RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005,RFA-MD-10-005"
10424380,m,a,"10674496,9608131,10093975,10077271,10686858","1184500.0,1414500.0,1334000.0,1334000.0,1184500.0","RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001,RFA-AA-18-001"
10676778,m,w,"10642789,10183172,10626813,10642790,9720188","515000.0,580000.0,515000.0,515000.0,615000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7637363,m,w,"9665510,9244044,9445480,9240654,9240652","246000.0,250000.0,250000.0,250000.0,250000.0","RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019,RFA-HD-16-019"
