Grant Number,Title
RFA-RM-10-008,2011 nih director s pioneer award program (dp1)
RFA-MH-14-215,brain initiative: transformative approaches for cell-type classification in the brain (u01)
RFA-ES-09-004,hazardous materials worker health and safety training (u45)
RFA-AA-12-002,specialized alcohol research centers (p50)
RFA-AG-14-005,centers on the demography and economics of aging (p30)
RFA-HD-10-001,systems-oriented pediatric obesity research and training (sport) center of excellence (u54)
RFA-ES-11-006,deepwater horizon disaster research consortia: health impacts and community resiliency (u19)
RFA-DK-11-032,niddk inflammatory bowel disease genetics consortium (ibdgc) genetic research centers (grcs) (u01)
RFA-GM-10-001,pharmacogenomics research network (u01/u19)
RFA-AI-12-048,immune mechanisms of virus control (u19)
RFA-HS-12-004,"â building the science of public reporting (r21) note: the policies, guidelines terms and conditions stated in this"
RFA-CA-13-001,early-stage innovative molecular analysis technology development for cancer research (r21)
RFA-HL-13-015,summer institute for training in biostatistics ii (t15)
RFA-MD-11-002,nimhd exploratory centers of excellence (p20)
RFA-ES-12-003,superfund hazardous substance research and training program (p42)
RFA-ES-13-001,superfund hazardous substance research and training program (p42)
RFA-MD-09-005,ncmhd exploratory centers of excellence (p20)
RFA-AI-10-013,asthma and allergic diseases cooperative research centers (u19)
RFA-DA-10-005,targeted library synthesis and screening at novel targets for potential drug addiction treatments and research tools (r21/r33)
RFA-AG-14-008,secondary analyses of social and behavioral datasets in aging (r03)
RFA-AG-10-002,alzheimer s disease research centers (p50)
RFA-RM-13-016,nih building infrastructure leading to diversity (build) initiative (u54)
RFA-OD-13-199,nih administrative supplements to recover losses due to hurricane sandy under the disaster relief appropriations act non-construction (admin supp)
RFA-RM-10-010,nih common fund transformative research projects program (r01)
RFA-HD-10-015,adolescent medicine trials network for hiv/aids interventions (atn) [u01] â
RFA-MD-13-002,nimhd minority health and health disparities international research training (t37)
RFA-FD-14-012,physiologically based absorption and pharmacokinetic modeling and simulation for non-gastrointestinally absorbed drug products in humans (u01)
RFA-DK-11-003,silvio o conte digestive diseases research core centers (p30)
RFA-AG-13-002,claude d. pepper older americans independence centers (oaics) and coordinating center (p30)
RFA-DA-14-011,integrating substance abuse prevention and treatment within hiv/aids service delivery settings (r01)
RFA-OD-11-002,building interdisciplinary research careers in women s health (k12)
RFA-DK-09-013,niddk centers of excellence in molecular hematology (p30) â
RFA-DK-13-010,type 1 diabetes trialnet clinical centers (u01)
RFA-RM-10-019,nih director's early independence awards (dp5)
RFA-GM-10-006,centers for membrane protein structure determination (u54)
RFA-HD-09-027,paul d. wellstone muscular dystrophy cooperative research centers (u54)
RFA-HL-14-029,"basic research in the pathogenesis of hiv-related heart, lung, and blood (hlb) diseases in adults and children (r21)"
RFA-CA-09-017,the early detection research network: biomarker developmental laboratories (u01)
